Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:31:41.877,10414,0
2025-05-09 03:31:41.902,11492,0
2025-05-09 03:31:41.923,12263,0
2025-05-09 03:31:41.945,13301,0
2025-05-09 03:31:41.959,13421,0
2025-05-09 03:31:41.971,13429,0
2025-05-09 03:31:41.984,13429,0
2025-05-09 03:31:41.998,13481,0
2025-05-09 03:31:42.011,13714,0
2025-05-09 03:31:42.024,14196,0
2025-05-09 03:31:42.037,15083,0
2025-05-09 03:31:42.051,15651,0
2025-05-09 03:31:42.066,15928,0
2025-05-09 03:31:42.086,16799,0
2025-05-09 03:31:42.102,17940,0
2025-05-09 03:31:42.116,19112,0
2025-05-09 03:31:42.143,19986,0
2025-05-09 03:31:42.164,20814,0
2025-05-09 03:31:42.180,21283,0
2025-05-09 03:31:42.193,21788,0
2025-05-09 03:31:42.206,22236,0
2025-05-09 03:31:42.218,23232,0
2025-05-09 03:31:42.231,24229,0
2025-05-09 03:31:42.245,24561,0
2025-05-09 03:31:42.258,25001,0
2025-05-09 03:31:42.271,25283,0
2025-05-09 03:31:42.284,25755,0
2025-05-09 03:31:42.298,25775,0
2025-05-09 03:31:42.311,25776,0
2025-05-09 03:31:42.325,25776,0
2025-05-09 03:31:42.338,25776,0
2025-05-09 03:31:42.351,25791,0
2025-05-09 03:31:42.364,25802,0
2025-05-09 03:31:42.378,25815,0
2025-05-09 03:31:42.391,25827,0
2025-05-09 03:31:42.405,25842,0
2025-05-09 03:31:42.418,25855,0
2025-05-09 03:31:42.431,25867,0
2025-05-09 03:31:42.444,25880,0
2025-05-09 03:31:42.457,25893,0
2025-05-09 03:31:42.470,25907,0
2025-05-09 03:31:42.483,25919,0
2025-05-09 03:31:42.496,25932,0
2025-05-09 03:31:42.509,25945,0
2025-05-09 03:31:42.523,25960,0
2025-05-09 03:31:42.536,25972,0
2025-05-09 03:31:42.549,25984,0
2025-05-09 03:31:42.562,25996,0
2025-05-09 03:31:42.576,26008,0
2025-05-09 03:31:42.589,26021,0
2025-05-09 03:31:42.602,26032,0
2025-05-09 03:31:42.616,26046,0
2025-05-09 03:31:42.630,26059,0
2025-05-09 03:31:42.643,26071,0
2025-05-09 03:31:42.656,26082,0
2025-05-09 03:31:42.669,26094,0
2025-05-09 03:31:42.682,26104,0
2025-05-09 03:31:42.696,26115,0
2025-05-09 03:31:42.709,26129,0
2025-05-09 03:31:42.722,26143,0
2025-05-09 03:31:42.735,26585,0
2025-05-09 03:31:42.748,26585,0
2025-05-09 03:31:42.761,26585,0
2025-05-09 03:31:42.772,26585,0
2025-05-09 03:31:42.786,26585,0
2025-05-09 03:31:42.799,26585,0
2025-05-09 03:31:42.812,26585,0
2025-05-09 03:31:42.825,26585,0
2025-05-09 03:31:42.838,26585,0
2025-05-09 03:31:42.852,26585,0
2025-05-09 03:31:42.864,26585,0
2025-05-09 03:31:42.877,26585,0
2025-05-09 03:31:42.889,26585,0
2025-05-09 03:31:42.903,26585,0
2025-05-09 03:31:42.915,26619,0
2025-05-09 03:31:42.928,26657,0
2025-05-09 03:31:42.941,26686,0
2025-05-09 03:31:42.954,26710,0
2025-05-09 03:31:42.968,26755,0
2025-05-09 03:31:42.981,26798,0
2025-05-09 03:31:42.994,26842,0
2025-05-09 03:31:43.007,26889,0
2025-05-09 03:31:43.020,26930,0
2025-05-09 03:31:43.033,26972,0
2025-05-09 03:31:43.046,27015,0
2025-05-09 03:31:43.060,27063,0
2025-05-09 03:31:43.073,27109,0
2025-05-09 03:31:43.086,27152,0
2025-05-09 03:31:43.099,27185,0
2025-05-09 03:31:43.112,27225,0
2025-05-09 03:31:43.126,27266,0
2025-05-09 03:31:43.139,27304,0
2025-05-09 03:31:43.153,27332,0
2025-05-09 03:31:43.165,27686,0
2025-05-09 03:31:43.178,27686,0
2025-05-09 03:31:43.191,27686,0
2025-05-09 03:31:43.203,27686,0
2025-05-09 03:31:43.216,27686,0
2025-05-09 03:31:43.229,27686,0
