Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:43:35.783,5186,0
2025-05-09 03:43:35.796,5453,0
2025-05-09 03:43:35.808,5473,0
2025-05-09 03:43:35.821,5626,0
2025-05-09 03:43:35.836,6006,0
2025-05-09 03:43:35.849,6104,0
2025-05-09 03:43:35.862,7396,0
2025-05-09 03:43:35.875,9157,0
2025-05-09 03:43:35.887,9951,0
2025-05-09 03:43:35.901,9970,0
2025-05-09 03:43:35.914,9981,0
2025-05-09 03:43:35.928,10034,0
2025-05-09 03:43:35.943,10269,0
2025-05-09 03:43:35.957,10307,0
2025-05-09 03:43:35.975,10861,0
2025-05-09 03:43:36.000,11160,0
2025-05-09 03:43:36.053,14604,0
2025-05-09 03:43:36.067,14825,0
2025-05-09 03:43:36.080,15497,0
2025-05-09 03:43:36.092,15501,0
2025-05-09 03:43:36.105,15501,0
2025-05-09 03:43:36.118,15502,0
2025-05-09 03:43:36.132,15517,0
2025-05-09 03:43:36.144,15766,0
2025-05-09 03:43:36.160,16011,0
2025-05-09 03:43:36.177,16768,0
2025-05-09 03:43:36.190,17176,0
2025-05-09 03:43:36.203,17462,0
2025-05-09 03:43:36.216,17684,0
2025-05-09 03:43:36.243,19508,0
2025-05-09 03:43:36.271,20536,0
2025-05-09 03:43:36.296,22412,0
2025-05-09 03:43:36.315,22639,0
2025-05-09 03:43:36.328,23015,0
2025-05-09 03:43:36.341,23393,0
2025-05-09 03:43:36.353,23824,0
2025-05-09 03:43:36.366,24486,0
2025-05-09 03:43:36.380,25788,0
2025-05-09 03:43:36.396,26142,0
2025-05-09 03:43:36.409,26405,0
2025-05-09 03:43:36.422,26742,0
2025-05-09 03:43:36.435,27014,0
2025-05-09 03:43:36.448,27450,0
2025-05-09 03:43:36.466,27485,0
2025-05-09 03:43:36.480,27485,0
2025-05-09 03:43:36.495,27485,0
2025-05-09 03:43:36.508,27485,0
2025-05-09 03:43:36.521,27492,0
2025-05-09 03:43:36.534,27500,0
2025-05-09 03:43:36.547,27509,0
2025-05-09 03:43:36.560,27517,0
2025-05-09 03:43:36.573,27525,0
2025-05-09 03:43:36.587,27532,0
2025-05-09 03:43:36.601,27539,0
2025-05-09 03:43:36.616,27547,0
2025-05-09 03:43:36.629,27556,0
2025-05-09 03:43:36.643,27562,0
2025-05-09 03:43:36.656,27570,0
2025-05-09 03:43:36.669,27580,0
2025-05-09 03:43:36.682,27586,0
2025-05-09 03:43:36.696,27591,0
2025-05-09 03:43:36.712,27596,0
2025-05-09 03:43:36.725,27600,0
2025-05-09 03:43:36.738,27606,0
2025-05-09 03:43:36.750,27608,0
2025-05-09 03:43:36.764,27613,0
2025-05-09 03:43:36.776,27622,0
2025-05-09 03:43:36.790,27630,0
2025-05-09 03:43:36.805,27638,0
2025-05-09 03:43:36.818,27643,0
2025-05-09 03:43:36.831,27652,0
2025-05-09 03:43:36.844,27654,0
2025-05-09 03:43:36.858,27663,0
2025-05-09 03:43:36.871,27672,0
2025-05-09 03:43:36.884,27680,0
2025-05-09 03:43:36.897,27687,0
2025-05-09 03:43:36.911,27696,0
2025-05-09 03:43:36.925,27700,0
2025-05-09 03:43:36.938,27707,0
2025-05-09 03:43:36.952,27713,0
2025-05-09 03:43:36.966,27722,0
2025-05-09 03:43:36.978,27729,0
2025-05-09 03:43:36.991,27738,0
2025-05-09 03:43:37.004,27748,0
2025-05-09 03:43:37.017,27756,0
2025-05-09 03:43:37.031,27763,0
2025-05-09 03:43:37.044,27769,0
2025-05-09 03:43:37.058,27778,0
2025-05-09 03:43:37.071,27786,0
2025-05-09 03:43:37.084,27796,0
2025-05-09 03:43:37.097,27801,0
2025-05-09 03:43:37.110,27812,0
2025-05-09 03:43:37.123,27819,0
2025-05-09 03:43:37.137,27826,0
2025-05-09 03:43:37.149,27834,0
2025-05-09 03:43:37.163,27845,0
2025-05-09 03:43:37.176,27854,0
2025-05-09 03:43:37.195,27863,0
2025-05-09 03:43:37.208,28294,0
2025-05-09 03:43:37.222,28294,0
2025-05-09 03:43:37.236,28294,0
2025-05-09 03:43:37.249,28294,0
2025-05-09 03:43:37.262,28294,0
2025-05-09 03:43:37.276,28294,0
2025-05-09 03:43:37.289,28294,0
2025-05-09 03:43:37.302,28294,0
2025-05-09 03:43:37.316,28294,0
2025-05-09 03:43:37.329,28294,0
2025-05-09 03:43:37.342,28294,0
2025-05-09 03:43:37.357,28294,0
2025-05-09 03:43:37.371,28294,0
2025-05-09 03:43:37.383,28294,0
2025-05-09 03:43:37.401,28312,0
2025-05-09 03:43:37.413,28349,0
2025-05-09 03:43:37.426,28387,0
2025-05-09 03:43:37.441,28434,0
2025-05-09 03:43:37.454,28473,0
2025-05-09 03:43:37.468,28515,0
2025-05-09 03:43:37.481,28553,0
2025-05-09 03:43:37.495,28586,0
2025-05-09 03:43:37.511,28637,0
2025-05-09 03:43:37.526,28682,0
2025-05-09 03:43:37.542,28705,0
2025-05-09 03:43:37.555,28717,0
2025-05-09 03:43:37.568,28730,0
2025-05-09 03:43:37.581,28745,0
2025-05-09 03:43:37.594,28768,0
2025-05-09 03:43:37.607,28782,0
2025-05-09 03:43:37.620,28796,0
2025-05-09 03:43:37.633,28806,0
2025-05-09 03:43:37.646,28820,0
2025-05-09 03:43:37.658,28833,0
2025-05-09 03:43:37.672,28859,0
2025-05-09 03:43:37.685,28902,0
2025-05-09 03:43:37.699,28946,0
2025-05-09 03:43:37.712,28988,0
2025-05-09 03:43:37.724,29026,0
2025-05-09 03:43:37.740,29394,0
2025-05-09 03:43:37.753,29394,0
2025-05-09 03:43:37.766,29394,0
2025-05-09 03:43:37.779,29394,0
2025-05-09 03:43:37.793,29394,0
2025-05-09 03:43:37.805,29394,0
2025-05-09 03:43:37.817,29394,0
2025-05-09 03:43:37.829,29394,0
2025-05-09 03:43:37.842,29394,0
2025-05-09 03:43:37.855,29394,0
2025-05-09 03:43:37.868,29394,0
