Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 03:07:09.911,5457,0
2025-05-09 03:07:09.924,5580,0
2025-05-09 03:07:09.937,5994,0
2025-05-09 03:07:09.950,6088,0
2025-05-09 03:07:09.962,7230,0
2025-05-09 03:07:09.976,9620,0
2025-05-09 03:07:09.992,9965,0
2025-05-09 03:07:10.004,9976,0
2025-05-09 03:07:10.017,10024,0
2025-05-09 03:07:10.029,10264,0
2025-05-09 03:07:10.043,10298,0
2025-05-09 03:07:10.056,10447,0
2025-05-09 03:07:10.073,10864,0
2025-05-09 03:07:10.089,11103,0
2025-05-09 03:07:10.111,12239,0
2025-05-09 03:07:10.129,14205,0
2025-05-09 03:07:10.150,14469,0
2025-05-09 03:07:10.163,14687,0
2025-05-09 03:07:10.175,15428,0
2025-05-09 03:07:10.188,15497,0
2025-05-09 03:07:10.201,15501,0
2025-05-09 03:07:10.214,15501,0
2025-05-09 03:07:10.227,15524,0
2025-05-09 03:07:10.240,15908,0
2025-05-09 03:07:10.252,16082,0
2025-05-09 03:07:10.264,16770,0
2025-05-09 03:07:10.277,17171,0
2025-05-09 03:07:10.289,17453,0
2025-05-09 03:07:10.301,17684,0
2025-05-09 03:07:10.322,18985,0
2025-05-09 03:07:10.336,19694,0
2025-05-09 03:07:10.354,19871,0
2025-05-09 03:07:10.373,20781,0
2025-05-09 03:07:10.405,22675,0
2025-05-09 03:07:10.417,23145,0
2025-05-09 03:07:10.431,23695,0
2025-05-09 03:07:10.445,24457,0
2025-05-09 03:07:10.458,25884,0
2025-05-09 03:07:10.471,26139,0
2025-05-09 03:07:10.484,26436,0
2025-05-09 03:07:10.497,26797,0
2025-05-09 03:07:10.509,27093,0
2025-05-09 03:07:10.521,27480,0
2025-05-09 03:07:10.535,27480,0
2025-05-09 03:07:10.547,27480,0
2025-05-09 03:07:10.560,27492,0
2025-05-09 03:07:10.572,27505,0
2025-05-09 03:07:10.587,27520,0
2025-05-09 03:07:10.601,27534,0
2025-05-09 03:07:10.615,27547,0
2025-05-09 03:07:10.627,27559,0
2025-05-09 03:07:10.641,27574,0
2025-05-09 03:07:10.654,27585,0
2025-05-09 03:07:10.666,27598,0
2025-05-09 03:07:10.679,27612,0
2025-05-09 03:07:10.691,27626,0
2025-05-09 03:07:10.704,27639,0
2025-05-09 03:07:10.717,27652,0
2025-05-09 03:07:10.730,27667,0
2025-05-09 03:07:10.744,27680,0
2025-05-09 03:07:10.757,27693,0
2025-05-09 03:07:10.771,27707,0
2025-05-09 03:07:10.784,27719,0
2025-05-09 03:07:10.796,27730,0
2025-05-09 03:07:10.810,27743,0
2025-05-09 03:07:10.823,27756,0
2025-05-09 03:07:10.836,27768,0
2025-05-09 03:07:10.849,27780,0
2025-05-09 03:07:10.864,27795,0
2025-05-09 03:07:10.878,27808,0
2025-05-09 03:07:10.891,27820,0
2025-05-09 03:07:10.903,27831,0
2025-05-09 03:07:10.917,27845,0
2025-05-09 03:07:10.932,27858,0
2025-05-09 03:07:10.946,28289,0
2025-05-09 03:07:10.959,28289,0
2025-05-09 03:07:10.971,28289,0
2025-05-09 03:07:10.984,28289,0
2025-05-09 03:07:10.997,28289,0
2025-05-09 03:07:11.009,28289,0
2025-05-09 03:07:11.022,28289,0
2025-05-09 03:07:11.035,28289,0
2025-05-09 03:07:11.047,28289,0
2025-05-09 03:07:11.059,28289,0
2025-05-09 03:07:11.071,28289,0
2025-05-09 03:07:11.086,28289,0
2025-05-09 03:07:11.098,28289,0
2025-05-09 03:07:11.110,28303,0
2025-05-09 03:07:11.122,28344,0
2025-05-09 03:07:11.135,28392,0
2025-05-09 03:07:11.149,28439,0
2025-05-09 03:07:11.161,28481,0
2025-05-09 03:07:11.174,28524,0
2025-05-09 03:07:11.186,28566,0
2025-05-09 03:07:11.199,28610,0
2025-05-09 03:07:11.211,28653,0
2025-05-09 03:07:11.224,28694,0
2025-05-09 03:07:11.236,28737,0
2025-05-09 03:07:11.249,28783,0
2025-05-09 03:07:11.261,28824,0
2025-05-09 03:07:11.273,28866,0
2025-05-09 03:07:11.286,28912,0
2025-05-09 03:07:11.299,28956,0
2025-05-09 03:07:11.312,29001,0
2025-05-09 03:07:11.324,29301,0
2025-05-09 03:07:11.337,29389,0
2025-05-09 03:07:11.352,29389,0
2025-05-09 03:07:11.365,29389,0
2025-05-09 03:07:11.378,29389,0
2025-05-09 03:07:11.390,29389,0
2025-05-09 03:07:11.402,29389,0
2025-05-09 03:07:11.416,29389,0
2025-05-09 03:07:11.429,29389,0
2025-05-09 03:07:11.441,29389,0
2025-05-09 03:07:11.453,29389,0
2025-05-09 03:07:11.467,29389,0
2025-05-09 03:07:11.479,29389,0
2025-05-09 03:07:11.493,29389,0
2025-05-09 03:07:11.505,29389,0
2025-05-09 03:07:11.517,29389,0
2025-05-09 03:07:11.530,29389,0
2025-05-09 03:07:11.544,29389,0
2025-05-09 03:07:11.556,29389,0
2025-05-09 03:07:11.569,29389,0
2025-05-09 03:07:11.583,29389,0
2025-05-09 03:07:11.596,29389,0
2025-05-09 03:07:11.608,29389,0
2025-05-09 03:07:11.620,29389,0
2025-05-09 03:07:11.634,29389,0
2025-05-09 03:07:11.647,29389,0
2025-05-09 03:07:11.659,29389,0
2025-05-09 03:07:11.671,29389,0
2025-05-09 03:07:11.684,29441,0
2025-05-09 03:07:11.697,29554,0
2025-05-09 03:07:11.711,29651,0
2025-05-09 03:07:11.725,29749,0
2025-05-09 03:07:11.737,29837,0
2025-05-09 03:07:11.751,29942,0
2025-05-09 03:07:11.764,30049,0
2025-05-09 03:07:11.777,30125,0
2025-05-09 03:07:11.790,30516,0
2025-05-09 03:07:11.804,30547,0
2025-05-09 03:07:11.818,30575,0
2025-05-09 03:07:11.832,30604,0
2025-05-09 03:07:11.844,30629,0
2025-05-09 03:07:11.856,30656,0
2025-05-09 03:07:11.869,30684,0
2025-05-09 03:07:11.883,30708,0
2025-05-09 03:07:11.895,30728,0
2025-05-09 03:07:11.908,30744,0
2025-05-09 03:07:11.921,30761,0
2025-05-09 03:07:11.936,30784,0
2025-05-09 03:07:11.949,30800,0
2025-05-09 03:07:11.962,30816,0
2025-05-09 03:07:11.974,30831,0
2025-05-09 03:07:11.989,30856,0
2025-05-09 03:07:12.003,30886,0
2025-05-09 03:07:12.017,30916,0
2025-05-09 03:07:12.031,30945,0
2025-05-09 03:07:12.043,30970,0
2025-05-09 03:07:12.056,30997,0
2025-05-09 03:07:12.069,31025,0
2025-05-09 03:07:12.083,31053,0
2025-05-09 03:07:12.095,31076,0
2025-05-09 03:07:12.108,31102,0
2025-05-09 03:07:12.122,31131,0
2025-05-09 03:07:12.135,31157,0
2025-05-09 03:07:12.148,31179,0
2025-05-09 03:07:12.160,31192,0
2025-05-09 03:07:12.173,31205,0
2025-05-09 03:07:12.186,31219,0
2025-05-09 03:07:12.199,31235,0
2025-05-09 03:07:12.212,31595,0
2025-05-09 03:07:12.224,31637,0
