Timestamp,Memory Usage (kB)
2025-05-09 22:20:03.650,26648
2025-05-09 22:20:03.666,32396
2025-05-09 22:20:03.681,33212
2025-05-09 22:20:03.697,36752
2025-05-09 22:20:03.711,36500
2025-05-09 22:20:03.723,39296
2025-05-09 22:20:03.736,39704
2025-05-09 22:20:03.751,40912
2025-05-09 22:20:03.764,53112
2025-05-09 22:20:03.781,48536
2025-05-09 22:20:03.793,47088
2025-05-09 22:20:03.805,48964
2025-05-09 22:20:03.817,49652
2025-05-09 22:20:03.834,51704
2025-05-09 22:20:03.849,52076
2025-05-09 22:20:03.861,54144
2025-05-09 22:20:03.874,52444
2025-05-09 22:20:03.886,54908
2025-05-09 22:20:03.898,54292
2025-05-09 22:20:03.913,53688
2025-05-09 22:20:03.928,51576
2025-05-09 22:20:03.941,56572
2025-05-09 22:20:03.957,56976
2025-05-09 22:20:03.970,58588
2025-05-09 22:20:03.982,56640
2025-05-09 22:20:03.998,61088
2025-05-09 22:20:04.010,62196
2025-05-09 22:20:04.025,67280
2025-05-09 22:20:04.041,68088
2025-05-09 22:20:04.057,69396
2025-05-09 22:20:04.070,70816
2025-05-09 22:20:04.082,69436
2025-05-09 22:20:04.095,70780
2025-05-09 22:20:04.111,69720
2025-05-09 22:20:04.126,71936
2025-05-09 22:20:04.138,68892
2025-05-09 22:20:04.150,72576
2025-05-09 22:20:04.164,70308
2025-05-09 22:20:04.179,73708
2025-05-09 22:20:04.192,72208
2025-05-09 22:20:04.208,74568
2025-05-09 22:20:04.220,75696
2025-05-09 22:20:04.232,78084
2025-05-09 22:20:04.246,80584
2025-05-09 22:20:04.258,81020
2025-05-09 22:20:04.270,80548
2025-05-09 22:20:04.287,81784
2025-05-09 22:20:04.298,83388
2025-05-09 22:20:04.310,85780
2025-05-09 22:20:04.326,87324
2025-05-09 22:20:04.342,85576
2025-05-09 22:20:04.355,87800
2025-05-09 22:20:04.368,87500
2025-05-09 22:20:04.379,92740
2025-05-09 22:20:04.391,94876
2025-05-09 22:20:04.407,96764
2025-05-09 22:20:04.419,94692
2025-05-09 22:20:04.434,97788
2025-05-09 22:20:04.446,97000
2025-05-09 22:20:04.462,100032
2025-05-09 22:20:04.473,100128
2025-05-09 22:20:04.489,102340
2025-05-09 22:20:04.503,107696
2025-05-09 22:20:04.515,107072
2025-05-09 22:20:04.528,108668
2025-05-09 22:20:04.540,108800
2025-05-09 22:20:04.553,110604
2025-05-09 22:20:04.568,111012
2025-05-09 22:20:04.580,113848
2025-05-09 22:20:04.593,112548
2025-05-09 22:20:04.605,115440
2025-05-09 22:20:04.621,114316
2025-05-09 22:20:04.634,116292
2025-05-09 22:20:04.647,151656
2025-05-09 22:20:04.660,180316
2025-05-09 22:20:04.674,219044
2025-05-09 22:20:04.687,256308
2025-05-09 22:20:04.701,301700
2025-05-09 22:20:04.714,327772
2025-05-09 22:20:04.727,380124
2025-05-09 22:20:04.740,408432
2025-05-09 22:20:04.753,456760
2025-05-09 22:20:04.765,482644
2025-05-09 22:20:04.778,526556
2025-05-09 22:20:04.790,560136
2025-05-09 22:20:04.803,599444
2025-05-09 22:20:04.816,640608
2025-05-09 22:20:04.829,676052
2025-05-09 22:20:04.843,731512
