Timestamp,Memory Usage (kB)
2025-05-09 22:27:29.679,27272
2025-05-09 22:27:29.691,32868
2025-05-09 22:27:29.703,34148
2025-05-09 22:27:29.716,35992
2025-05-09 22:27:29.733,36608
2025-05-09 22:27:29.746,38176
2025-05-09 22:27:29.759,41512
2025-05-09 22:27:29.771,41344
2025-05-09 22:27:29.787,50308
2025-05-09 22:27:29.799,48320
2025-05-09 22:27:29.810,47788
2025-05-09 22:27:29.824,47628
2025-05-09 22:27:29.840,51932
2025-05-09 22:27:29.852,50616
2025-05-09 22:27:29.865,50324
2025-05-09 22:27:29.878,50996
2025-05-09 22:27:29.890,54364
2025-05-09 22:27:29.906,56056
2025-05-09 22:27:29.917,54456
2025-05-09 22:27:29.931,53040
2025-05-09 22:27:29.946,57112
2025-05-09 22:27:29.959,55900
2025-05-09 22:27:29.975,56844
2025-05-09 22:27:29.989,57764
2025-05-09 22:27:30.006,60132
2025-05-09 22:27:30.018,63216
2025-05-09 22:27:30.031,65712
2025-05-09 22:27:30.045,64672
2025-05-09 22:27:30.063,67236
2025-05-09 22:27:30.079,70000
2025-05-09 22:27:30.092,72388
2025-05-09 22:27:30.104,72576
2025-05-09 22:27:30.116,72036
2025-05-09 22:27:30.132,72452
2025-05-09 22:27:30.145,72220
2025-05-09 22:27:30.158,69204
2025-05-09 22:27:30.174,71532
2025-05-09 22:27:30.186,69532
2025-05-09 22:27:30.199,71316
2025-05-09 22:27:30.215,73288
2025-05-09 22:27:30.227,73500
2025-05-09 22:27:30.239,75080
2025-05-09 22:27:30.251,77076
2025-05-09 22:27:30.269,77452
2025-05-09 22:27:30.282,79916
2025-05-09 22:27:30.295,78708
2025-05-09 22:27:30.307,80104
2025-05-09 22:27:30.319,84420
2025-05-09 22:27:30.332,86764
2025-05-09 22:27:30.348,88704
2025-05-09 22:27:30.360,87916
2025-05-09 22:27:30.372,90124
2025-05-09 22:27:30.386,88992
2025-05-09 22:27:30.398,91268
2025-05-09 22:27:30.412,95316
2025-05-09 22:27:30.428,94384
2025-05-09 22:27:30.440,97028
2025-05-09 22:27:30.456,96316
2025-05-09 22:27:30.471,100248
2025-05-09 22:27:30.483,98432
2025-05-09 22:27:30.497,102348
2025-05-09 22:27:30.509,102936
2025-05-09 22:27:30.524,108824
2025-05-09 22:27:30.535,107724
2025-05-09 22:27:30.547,109692
2025-05-09 22:27:30.564,110344
2025-05-09 22:27:30.576,112832
2025-05-09 22:27:30.592,110468
2025-05-09 22:27:30.604,112712
