Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 22:00:58.145,706,0
2025-05-09 22:00:58.160,1221,0
2025-05-09 22:00:58.180,2283,0
2025-05-09 22:00:58.193,2832,0
2025-05-09 22:00:58.210,3251,0
2025-05-09 22:00:58.223,3635,0
2025-05-09 22:00:58.240,4907,0
2025-05-09 22:00:58.252,6952,0
2025-05-09 22:00:58.267,7190,0
2025-05-09 22:00:58.286,7900,0
2025-05-09 22:00:58.300,8508,0
2025-05-09 22:00:58.318,8616,0
2025-05-09 22:00:58.330,8658,0
2025-05-09 22:00:58.344,8857,0
2025-05-09 22:00:58.361,9152,0
2025-05-09 22:00:58.375,9159,0
2025-05-09 22:00:58.389,9269,0
2025-05-09 22:00:58.405,9782,0
2025-05-09 22:00:58.419,10022,0
2025-05-09 22:00:58.434,10262,0
2025-05-09 22:00:58.453,10880,0
2025-05-09 22:00:58.470,11870,0
2025-05-09 22:00:58.483,11997,0
2025-05-09 22:00:58.496,12554,0
2025-05-09 22:00:58.512,12970,0
2025-05-09 22:00:58.527,13288,0
2025-05-09 22:00:58.540,13547,0
2025-05-09 22:00:58.555,13558,0
2025-05-09 22:00:58.571,13562,0
2025-05-09 22:00:58.584,13562,0
2025-05-09 22:00:58.597,13562,0
2025-05-09 22:00:58.612,13563,0
2025-05-09 22:00:58.628,13617,0
2025-05-09 22:00:58.646,13832,0
2025-05-09 22:00:58.660,14115,0
2025-05-09 22:00:58.676,14894,0
2025-05-09 22:00:58.692,15198,0
2025-05-09 22:00:58.705,15598,0
2025-05-09 22:00:58.721,15811,0
2025-05-09 22:00:58.734,16031,0
2025-05-09 22:00:58.752,16100,0
2025-05-09 22:00:58.770,16370,0
2025-05-09 22:00:58.789,17748,0
2025-05-09 22:00:58.808,17812,0
2025-05-09 22:00:58.822,17907,0
2025-05-09 22:00:58.839,18698,0
2025-05-09 22:00:58.853,18905,0
2025-05-09 22:00:58.869,20212,0
2025-05-09 22:00:58.887,20810,0
2025-05-09 22:00:58.902,20910,0
2025-05-09 22:00:58.917,21144,0
2025-05-09 22:00:58.933,21497,0
2025-05-09 22:00:58.950,21682,0
2025-05-09 22:00:58.963,22004,0
2025-05-09 22:00:58.982,22318,0
2025-05-09 22:00:59.001,22896,0
2025-05-09 22:00:59.014,23720,0
2025-05-09 22:00:59.031,24281,0
2025-05-09 22:00:59.049,24466,0
2025-05-09 22:00:59.063,24641,0
2025-05-09 22:00:59.077,24856,0
2025-05-09 22:00:59.094,25139,0
2025-05-09 22:00:59.114,25393,0
2025-05-09 22:00:59.127,25809,0
2025-05-09 22:00:59.144,25880,0
2025-05-09 22:00:59.157,25881,0
2025-05-09 22:00:59.173,25881,0
2025-05-09 22:00:59.187,25892,0
2025-05-09 22:00:59.203,25896,0
2025-05-09 22:00:59.218,25903,0
2025-05-09 22:00:59.235,25909,0
2025-05-09 22:00:59.249,25914,0
2025-05-09 22:00:59.267,25920,0
2025-05-09 22:00:59.284,25924,0
2025-05-09 22:00:59.300,25931,0
2025-05-09 22:00:59.315,25935,0
2025-05-09 22:00:59.330,25940,0
2025-05-09 22:00:59.345,25947,0
2025-05-09 22:00:59.359,25950,0
2025-05-09 22:00:59.374,25957,0
2025-05-09 22:00:59.390,25961,0
2025-05-09 22:00:59.405,25967,0
2025-05-09 22:00:59.423,25973,0
2025-05-09 22:00:59.438,25976,0
2025-05-09 22:00:59.452,25982,0
2025-05-09 22:00:59.468,25985,0
2025-05-09 22:00:59.483,25991,0
2025-05-09 22:00:59.498,25995,0
2025-05-09 22:00:59.512,26000,0
2025-05-09 22:00:59.529,26005,0
2025-05-09 22:00:59.546,26009,0
2025-05-09 22:00:59.564,26017,0
2025-05-09 22:00:59.579,26022,0
2025-05-09 22:00:59.594,26027,0
2025-05-09 22:00:59.609,26035,0
2025-05-09 22:00:59.623,26040,0
2025-05-09 22:00:59.639,26047,0
2025-05-09 22:00:59.657,26052,0
2025-05-09 22:00:59.671,26056,0
2025-05-09 22:00:59.686,26061,0
2025-05-09 22:00:59.701,26064,0
2025-05-09 22:00:59.715,26072,0
2025-05-09 22:00:59.730,26076,0
2025-05-09 22:00:59.746,26080,0
2025-05-09 22:00:59.763,26089,0
2025-05-09 22:00:59.777,26093,0
2025-05-09 22:00:59.793,26099,0
2025-05-09 22:00:59.807,26104,0
2025-05-09 22:00:59.822,26107,0
2025-05-09 22:00:59.840,26111,0
2025-05-09 22:00:59.858,26114,0
2025-05-09 22:00:59.880,26119,0
2025-05-09 22:00:59.904,26123,0
2025-05-09 22:00:59.922,26129,0
2025-05-09 22:00:59.939,26133,0
2025-05-09 22:00:59.955,26141,0
2025-05-09 22:00:59.976,26145,0
2025-05-09 22:00:59.993,26151,0
2025-05-09 22:01:00.012,26154,0
2025-05-09 22:01:00.031,26160,0
2025-05-09 22:01:00.048,26162,0
2025-05-09 22:01:00.064,26169,0
