Timestamp,Memory Usage (kB)
2025-05-09 23:36:14.365,27280
2025-05-09 23:36:14.379,33180
2025-05-09 23:36:14.391,33608
2025-05-09 23:36:14.403,37992
2025-05-09 23:36:14.416,36256
2025-05-09 23:36:14.428,40900
2025-05-09 23:36:14.439,38868
2025-05-09 23:36:14.452,51636
2025-05-09 23:36:14.464,44628
2025-05-09 23:36:14.479,46680
2025-05-09 23:36:14.492,48548
2025-05-09 23:36:14.507,51724
2025-05-09 23:36:14.518,49492
2025-05-09 23:36:14.532,53120
2025-05-09 23:36:14.547,51172
2025-05-09 23:36:14.559,54480
2025-05-09 23:36:14.574,54092
2025-05-09 23:36:14.585,56536
2025-05-09 23:36:14.600,54820
2025-05-09 23:36:14.612,56156
2025-05-09 23:36:14.625,58152
2025-05-09 23:36:14.637,58472
2025-05-09 23:36:14.650,62540
2025-05-09 23:36:14.667,63076
2025-05-09 23:36:14.683,68784
2025-05-09 23:36:14.697,66840
2025-05-09 23:36:14.708,70756
2025-05-09 23:36:14.720,69632
2025-05-09 23:36:14.734,71152
2025-05-09 23:36:14.745,73424
2025-05-09 23:36:14.757,72888
2025-05-09 23:36:14.769,70000
2025-05-09 23:36:14.781,70812
2025-05-09 23:36:14.793,73336
2025-05-09 23:36:14.809,69828
2025-05-09 23:36:14.823,73116
2025-05-09 23:36:14.835,72796
2025-05-09 23:36:14.847,75912
2025-05-09 23:36:14.859,75912
2025-05-09 23:36:14.875,77480
2025-05-09 23:36:14.888,79124
2025-05-09 23:36:14.900,82496
2025-05-09 23:36:14.912,82808
2025-05-09 23:36:14.927,84828
2025-05-09 23:36:14.940,85176
2025-05-09 23:36:14.954,84300
2025-05-09 23:36:14.968,88336
2025-05-09 23:36:14.980,87540
2025-05-09 23:36:14.993,89624
2025-05-09 23:36:15.008,93332
2025-05-09 23:36:15.022,96420
2025-05-09 23:36:15.034,96856
2025-05-09 23:36:15.046,96192
2025-05-09 23:36:15.059,96904
2025-05-09 23:36:15.070,97544
2025-05-09 23:36:15.082,98684
2025-05-09 23:36:15.097,98952
2025-05-09 23:36:15.110,99756
2025-05-09 23:36:15.126,103892
2025-05-09 23:36:15.138,108396
2025-05-09 23:36:15.150,107968
2025-05-09 23:36:15.167,111048
2025-05-09 23:36:15.179,111392
2025-05-09 23:36:15.194,108520
2025-05-09 23:36:15.205,112788
2025-05-09 23:36:15.216,109952
2025-05-09 23:36:15.229,114788
2025-05-09 23:36:15.241,115584
2025-05-09 23:36:15.255,118392
2025-05-09 23:36:15.267,122252
2025-05-09 23:36:15.280,150668
2025-05-09 23:36:15.294,198880
2025-05-09 23:36:15.307,230000
2025-05-09 23:36:15.320,279892
2025-05-09 23:36:15.334,304288
2025-05-09 23:36:15.347,356636
2025-05-09 23:36:15.361,384156
2025-05-09 23:36:15.374,429436
2025-05-09 23:36:15.388,469092
2025-05-09 23:36:15.401,508856
2025-05-09 23:36:15.414,544212
2025-05-09 23:36:15.427,577628
2025-05-09 23:36:15.440,606356
2025-05-09 23:36:15.455,637516
2025-05-09 23:36:15.469,676000
2025-05-09 23:36:15.483,702372
2025-05-09 23:36:15.497,750160
2025-05-09 23:36:15.511,774404
2025-05-09 23:36:15.524,819968
2025-05-09 23:36:15.538,839908
2025-05-09 23:36:15.550,878556
2025-05-09 23:36:15.562,899604
2025-05-09 23:36:15.575,946244
2025-05-09 23:36:15.589,973788
2025-05-09 23:36:15.604,1023388
2025-05-09 23:36:15.617,1054300
2025-05-09 23:36:15.630,1092576
2025-05-09 23:36:15.644,1130964
2025-05-09 23:36:15.657,1158980
2025-05-09 23:36:15.670,1201036
2025-05-09 23:36:15.682,1225048
2025-05-09 23:36:15.695,1268476
2025-05-09 23:36:15.707,1291628
2025-05-09 23:36:15.720,1338628
2025-05-09 23:36:15.733,1360828
2025-05-09 23:36:15.747,1412496
2025-05-09 23:36:15.761,1448856
2025-05-09 23:36:15.773,1482532
2025-05-09 23:36:15.786,1515004
2025-05-09 23:36:15.798,1550848
2025-05-09 23:36:15.810,1591232
2025-05-09 23:36:15.824,1620824
2025-05-09 23:36:15.837,1659336
2025-05-09 23:36:15.850,1692792
2025-05-09 23:36:15.864,1710532
2025-05-09 23:36:15.881,1715848
2025-05-09 23:36:15.893,1713528
2025-05-09 23:36:15.906,1713788
2025-05-09 23:36:15.918,1712552
2025-05-09 23:36:15.931,1715500
2025-05-09 23:36:15.944,1712028
2025-05-09 23:36:15.959,1714620
2025-05-09 23:36:15.973,1713256
2025-05-09 23:36:15.985,1715832
2025-05-09 23:36:15.998,1711732
2025-05-09 23:36:16.011,1715928
2025-05-09 23:36:16.024,1714952
2025-05-09 23:36:16.036,1716640
2025-05-09 23:36:16.050,1714880
2025-05-09 23:36:16.062,1715900
2025-05-09 23:36:16.078,1713364
2025-05-09 23:36:16.091,1715904
2025-05-09 23:36:16.105,1713016
2025-05-09 23:36:16.116,1715352
2025-05-09 23:36:16.128,1713844
2025-05-09 23:36:16.140,1714148
2025-05-09 23:36:16.161,1718632
2025-05-09 23:36:16.182,1723244
2025-05-09 23:36:16.197,1721820
2025-05-09 23:36:16.210,1726620
2025-05-09 23:36:16.221,1733140
2025-05-09 23:36:16.239,1744084
2025-05-09 23:36:16.255,1821284
2025-05-09 23:36:16.273,1869708
2025-05-09 23:36:16.285,1931800
2025-05-09 23:36:16.301,1974160
2025-05-09 23:36:16.313,2044532
2025-05-09 23:36:16.325,2081352
2025-05-09 23:36:16.340,2162732
2025-05-09 23:36:16.354,2206344
2025-05-09 23:36:16.365,2253192
2025-05-09 23:36:16.380,2309732
2025-05-09 23:36:16.391,2360612
2025-05-09 23:36:16.404,2402292
