Timestamp,Memory Usage (kB)
2025-05-09 23:27:13.016,26104
2025-05-09 23:27:13.034,29232
2025-05-09 23:27:13.045,30524
2025-05-09 23:27:13.062,34928
2025-05-09 23:27:13.074,33920
2025-05-09 23:27:13.085,39144
2025-05-09 23:27:13.098,38296
2025-05-09 23:27:13.111,44120
2025-05-09 23:27:13.122,45264
2025-05-09 23:27:13.136,46264
2025-05-09 23:27:13.147,46184
2025-05-09 23:27:13.163,49828
2025-05-09 23:27:13.174,50948
2025-05-09 23:27:13.186,51416
2025-05-09 23:27:13.199,52456
2025-05-09 23:27:13.214,54132
2025-05-09 23:27:13.228,52384
2025-05-09 23:27:13.240,53756
2025-05-09 23:27:13.254,54088
2025-05-09 23:27:13.267,56684
2025-05-09 23:27:13.280,55764
2025-05-09 23:27:13.296,59628
2025-05-09 23:27:13.312,63052
2025-05-09 23:27:13.329,66196
2025-05-09 23:27:13.341,68216
2025-05-09 23:27:13.352,66804
2025-05-09 23:27:13.365,69960
2025-05-09 23:27:13.381,70060
2025-05-09 23:27:13.393,72252
2025-05-09 23:27:13.408,70324
2025-05-09 23:27:13.423,70928
2025-05-09 23:27:13.435,71212
2025-05-09 23:27:13.447,71348
2025-05-09 23:27:13.460,72480
2025-05-09 23:27:13.472,71568
2025-05-09 23:27:13.484,72680
2025-05-09 23:27:13.500,76932
2025-05-09 23:27:13.512,75752
2025-05-09 23:27:13.524,78324
2025-05-09 23:27:13.540,80400
2025-05-09 23:27:13.552,78684
2025-05-09 23:27:13.567,80192
2025-05-09 23:27:13.581,81696
2025-05-09 23:27:13.595,85064
2025-05-09 23:27:13.606,82644
2025-05-09 23:27:13.618,85688
2025-05-09 23:27:13.632,86592
2025-05-09 23:27:13.647,89608
2025-05-09 23:27:13.660,95620
2025-05-09 23:27:13.672,95804
2025-05-09 23:27:13.686,92772
2025-05-09 23:27:13.701,97008
2025-05-09 23:27:13.716,96232
2025-05-09 23:27:13.727,99328
2025-05-09 23:27:13.739,98808
2025-05-09 23:27:13.755,102348
2025-05-09 23:27:13.768,105812
2025-05-09 23:27:13.783,108852
2025-05-09 23:27:13.794,110468
2025-05-09 23:27:13.807,109048
2025-05-09 23:27:13.819,111068
2025-05-09 23:27:13.831,111636
2025-05-09 23:27:13.846,111024
2025-05-09 23:27:13.858,112384
2025-05-09 23:27:13.869,116652
2025-05-09 23:27:13.883,113256
2025-05-09 23:27:13.895,120080
2025-05-09 23:27:13.908,116736
2025-05-09 23:27:13.920,121880
2025-05-09 23:27:13.933,117716
2025-05-09 23:27:13.946,123208
2025-05-09 23:27:13.960,123748
2025-05-09 23:27:13.976,126824
2025-05-09 23:27:13.988,126992
2025-05-09 23:27:14.001,128800
2025-05-09 23:27:14.012,125244
2025-05-09 23:27:14.026,131012
2025-05-09 23:27:14.037,131716
2025-05-09 23:27:14.050,132016
2025-05-09 23:27:14.065,132608
2025-05-09 23:27:14.077,134892
2025-05-09 23:27:14.088,136380
2025-05-09 23:27:14.102,136308
2025-05-09 23:27:14.113,136312
2025-05-09 23:27:14.128,138036
2025-05-09 23:27:14.142,140100
2025-05-09 23:27:14.155,137924
2025-05-09 23:27:14.166,140696
