Timestamp,Minor Page Faults,Major Page Faults
2025-05-09 23:36:44.611,714,0
2025-05-09 23:36:44.625,1176,0
2025-05-09 23:36:44.639,2056,0
2025-05-09 23:36:44.657,2818,0
2025-05-09 23:36:44.675,3253,0
2025-05-09 23:36:44.688,3653,0
2025-05-09 23:36:44.705,5139,0
2025-05-09 23:36:44.721,6998,0
2025-05-09 23:36:44.735,7250,0
2025-05-09 23:36:44.754,7582,0
2025-05-09 23:36:44.773,8227,0
2025-05-09 23:36:44.788,8410,0
2025-05-09 23:36:44.803,8495,0
2025-05-09 23:36:44.820,8696,0
2025-05-09 23:36:44.834,8987,0
2025-05-09 23:36:44.848,8989,0
2025-05-09 23:36:44.862,9014,0
2025-05-09 23:36:44.882,9492,0
2025-05-09 23:36:44.896,9754,0
2025-05-09 23:36:44.908,9889,0
2025-05-09 23:36:44.925,10482,0
2025-05-09 23:36:44.942,10994,0
2025-05-09 23:36:44.959,11821,0
2025-05-09 23:36:44.974,12171,0
2025-05-09 23:36:44.988,12789,0
2025-05-09 23:36:45.005,13098,0
2025-05-09 23:36:45.019,13292,0
2025-05-09 23:36:45.036,13391,0
2025-05-09 23:36:45.053,13395,0
2025-05-09 23:36:45.066,13395,0
2025-05-09 23:36:45.082,13395,0
2025-05-09 23:36:45.098,13447,0
2025-05-09 23:36:45.111,13494,0
2025-05-09 23:36:45.128,13868,0
2025-05-09 23:36:45.142,14029,0
2025-05-09 23:36:45.156,14813,0
2025-05-09 23:36:45.174,15171,0
2025-05-09 23:36:45.187,15603,0
2025-05-09 23:36:45.200,15710,0
2025-05-09 23:36:45.219,15927,0
2025-05-09 23:36:45.233,16282,0
2025-05-09 23:36:45.247,16716,0
2025-05-09 23:36:45.265,17864,0
2025-05-09 23:36:45.283,18888,0
2025-05-09 23:36:45.300,18946,0
2025-05-09 23:36:45.313,18999,0
2025-05-09 23:36:45.329,19798,0
2025-05-09 23:36:45.344,20689,0
2025-05-09 23:36:45.359,20799,0
2025-05-09 23:36:45.373,20952,0
2025-05-09 23:36:45.389,21419,0
2025-05-09 23:36:45.407,21852,0
2025-05-09 23:36:45.421,22118,0
2025-05-09 23:36:45.437,23145,0
2025-05-09 23:36:45.451,23966,0
2025-05-09 23:36:45.466,24259,0
2025-05-09 23:36:45.483,24498,0
2025-05-09 23:36:45.499,24671,0
2025-05-09 23:36:45.516,24993,0
2025-05-09 23:36:45.530,25125,0
2025-05-09 23:36:45.548,25662,0
2025-05-09 23:36:45.561,25715,0
2025-05-09 23:36:45.574,25716,0
2025-05-09 23:36:45.591,25722,0
2025-05-09 23:36:45.606,25732,0
2025-05-09 23:36:45.620,25743,0
2025-05-09 23:36:45.635,25751,0
2025-05-09 23:36:45.649,25765,0
2025-05-09 23:36:45.665,25773,0
2025-05-09 23:36:45.678,25783,0
2025-05-09 23:36:45.693,25794,0
2025-05-09 23:36:45.707,25801,0
2025-05-09 23:36:45.721,25813,0
2025-05-09 23:36:45.735,25822,0
2025-05-09 23:36:45.748,25832,0
2025-05-09 23:36:45.762,25843,0
