Timestamp,Memory Usage (kB)
2025-03-02 03:48:52.670,31456
2025-03-02 03:48:52.875,50052
2025-03-02 03:48:53.079,77036
2025-03-02 03:48:53.281,99800
2025-03-02 03:48:53.483,138600
2025-03-02 03:48:53.685,1049868
2025-03-02 03:48:53.890,1735228
2025-03-02 03:48:54.092,2365224
2025-03-02 03:48:54.294,3269276
2025-03-02 03:48:54.496,3269500
2025-03-02 03:48:54.702,3843440
2025-03-02 03:48:54.904,4368640
2025-03-02 03:48:55.109,4896912
2025-03-02 03:48:55.311,5433080
2025-03-02 03:48:55.513,5823832
2025-03-02 03:48:55.719,6088584
2025-03-02 03:48:55.921,2840964
2025-03-02 03:48:56.124,687732
2025-03-02 03:48:56.328,687124
