Timestamp,Memory Usage (kB)
2025-03-02 03:34:00.104,33224
2025-03-02 03:34:00.310,50692
2025-03-02 03:34:00.512,72068
2025-03-02 03:34:00.717,100092
2025-03-02 03:34:00.922,126572
2025-03-02 03:34:01.124,1007764
2025-03-02 03:34:01.327,1727916
2025-03-02 03:34:01.530,2477384
2025-03-02 03:34:01.734,3261640
2025-03-02 03:34:01.938,3261828
2025-03-02 03:34:02.142,4099140
2025-03-02 03:34:02.344,4624772
2025-03-02 03:34:02.546,5158084
2025-03-02 03:34:02.753,5753096
2025-03-02 03:34:02.956,6203684
2025-03-02 03:34:03.158,3618356
2025-03-02 03:34:03.363,871812
