Timestamp,Memory Usage (kB)
2025-03-02 03:59:12.405,24540
2025-03-02 03:59:12.613,47924
2025-03-02 03:59:12.815,68088
2025-03-02 03:59:13.018,98968
2025-03-02 03:59:13.221,921608
2025-03-02 03:59:13.424,1702560
2025-03-02 03:59:13.631,2348916
2025-03-02 03:59:13.833,2756496
2025-03-02 03:59:14.035,3236604
2025-03-02 03:59:14.239,3236720
2025-03-02 03:59:14.441,3943104
2025-03-02 03:59:14.647,4380608
2025-03-02 03:59:14.848,4553528
2025-03-02 03:59:15.053,4875988
2025-03-02 03:59:15.255,5424184
2025-03-02 03:59:15.456,2630580
2025-03-02 03:59:15.660,25076
2025-03-02 03:59:15.863,24308
