Timestamp,Memory Usage (kB)
2025-03-02 03:37:46.008,25508
2025-03-02 03:37:46.212,44768
2025-03-02 03:37:46.417,63752
2025-03-02 03:37:46.619,90164
2025-03-02 03:37:46.826,588420
2025-03-02 03:37:47.028,1652528
2025-03-02 03:37:47.235,1931904
2025-03-02 03:37:47.439,2733228
2025-03-02 03:37:47.641,3166716
2025-03-02 03:37:47.844,3237860
2025-03-02 03:37:48.049,3577344
2025-03-02 03:37:48.253,4151080
2025-03-02 03:37:48.455,4531288
2025-03-02 03:37:48.657,4710300
2025-03-02 03:37:48.864,5123744
2025-03-02 03:37:49.067,2515668
2025-03-02 03:37:49.275,104280
2025-03-02 03:37:49.477,25408
2025-03-02 03:37:49.679,24604
