Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:34:14.158,983,0
2025-03-02 03:34:14.363,4904,0
2025-03-02 03:34:14.567,10115,0
2025-03-02 03:34:14.773,16442,0
2025-03-02 03:34:14.983,24135,0
2025-03-02 03:34:15.189,24591,0
2025-03-02 03:34:15.391,24944,0
2025-03-02 03:34:15.594,25427,0
2025-03-02 03:34:15.797,26045,0
2025-03-02 03:34:16.000,26045,0
2025-03-02 03:34:16.208,107431,0
2025-03-02 03:34:16.410,234714,0
2025-03-02 03:34:16.613,394284,0
2025-03-02 03:34:16.817,540174,0
2025-03-02 03:34:17.019,654835,0
2025-03-02 03:34:17.223,657092,0
