Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:38:48.440,769,0
2025-03-02 03:38:48.646,5080,0
2025-03-02 03:38:48.857,12314,0
2025-03-02 03:38:49.061,22548,0
2025-03-02 03:38:49.263,24444,0
2025-03-02 03:38:49.466,24942,0
2025-03-02 03:38:49.669,25602,0
2025-03-02 03:38:49.876,88837,0
2025-03-02 03:38:50.078,200294,0
2025-03-02 03:38:50.282,200294,0
2025-03-02 03:38:50.489,368708,0
2025-03-02 03:38:50.697,538060,0
2025-03-02 03:38:50.899,684463,0
2025-03-02 03:38:51.102,801305,0
2025-03-02 03:38:51.305,923271,0
2025-03-02 03:38:51.481,966251,0
