Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:44:19.054,751,0
2025-03-02 03:44:19.259,5820,0
2025-03-02 03:44:19.469,13706,0
2025-03-02 03:44:19.671,23247,0
2025-03-02 03:44:19.873,24508,0
2025-03-02 03:44:20.076,24941,0
2025-03-02 03:44:20.279,25207,0
2025-03-02 03:44:20.484,84248,0
2025-03-02 03:44:20.688,188682,0
2025-03-02 03:44:20.891,205913,0
2025-03-02 03:44:21.095,255455,0
2025-03-02 03:44:21.298,484319,0
2025-03-02 03:44:21.500,642963,0
2025-03-02 03:44:21.704,760645,0
2025-03-02 03:44:21.908,886937,0
2025-03-02 03:44:22.112,971554,0
2025-03-02 03:44:22.314,972361,0
