Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:58:57.396,628,0
2025-03-02 03:58:57.606,6581,0
2025-03-02 03:58:57.809,13636,0
2025-03-02 03:58:58.014,23388,0
2025-03-02 03:58:58.219,24483,0
2025-03-02 03:58:58.424,24886,0
2025-03-02 03:58:58.626,25216,0
2025-03-02 03:58:58.829,90337,0
2025-03-02 03:58:59.033,189469,0
2025-03-02 03:58:59.235,214034,0
2025-03-02 03:58:59.438,287297,0
2025-03-02 03:58:59.645,511400,0
2025-03-02 03:58:59.847,656863,0
2025-03-02 03:59:00.049,776149,0
2025-03-02 03:59:00.255,906661,0
2025-03-02 03:59:00.461,979934,0
