Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:51:01.098,769,0
2025-03-02 03:51:01.304,4979,0
2025-03-02 03:51:01.508,11174,0
2025-03-02 03:51:01.710,18989,0
2025-03-02 03:51:01.915,24302,0
2025-03-02 03:51:02.118,24526,0
2025-03-02 03:51:02.324,24881,0
2025-03-02 03:51:02.525,25392,0
2025-03-02 03:51:02.727,25981,0
2025-03-02 03:51:02.929,25981,0
2025-03-02 03:51:03.135,112557,0
2025-03-02 03:51:03.340,245802,0
2025-03-02 03:51:03.543,411805,0
2025-03-02 03:51:03.747,555624,0
2025-03-02 03:51:03.953,670760,0
2025-03-02 03:51:04.155,705234,0
