Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:46:33.722,756,0
2025-03-02 03:46:33.927,4543,0
2025-03-02 03:46:34.137,10107,0
2025-03-02 03:46:34.339,14056,0
2025-03-02 03:46:34.544,20148,0
2025-03-02 03:46:34.748,24595,0
2025-03-02 03:46:34.950,24828,0
2025-03-02 03:46:35.157,24941,0
2025-03-02 03:46:35.362,25853,0
2025-03-02 03:46:35.565,26042,0
2025-03-02 03:46:35.771,26711,0
2025-03-02 03:46:35.974,167116,0
2025-03-02 03:46:36.178,292951,0
2025-03-02 03:46:36.382,465322,0
2025-03-02 03:46:36.585,601873,0
2025-03-02 03:46:36.791,709824,0
2025-03-02 03:46:36.996,739857,0
