Timestamp,Minor Page Faults,Major Page Faults
2025-03-02 03:33:05.375,998,0
2025-03-02 03:33:05.581,5205,0
2025-03-02 03:33:05.795,12106,0
2025-03-02 03:33:05.998,21544,0
2025-03-02 03:33:06.200,24334,0
2025-03-02 03:33:06.404,24935,0
2025-03-02 03:33:06.606,25503,4
2025-03-02 03:33:06.808,27113,4
2025-03-02 03:33:07.010,30122,4
2025-03-02 03:33:07.218,39197,4
2025-03-02 03:33:07.420,180422,4
2025-03-02 03:33:07.623,390991,4
2025-03-02 03:33:07.826,514946,4
2025-03-02 03:33:08.034,637826,4
2025-03-02 03:33:08.241,768899,4
2025-03-02 03:33:08.443,785705,10
