Timestamp,Memory Usage (kB)
2025-03-03 13:49:43.882,25860
2025-03-03 13:49:43.895,30252
2025-03-03 13:49:43.906,32864
2025-03-03 13:49:43.920,33244
2025-03-03 13:49:43.933,33892
2025-03-03 13:49:43.946,33832
2025-03-03 13:49:43.962,35916
2025-03-03 13:49:43.973,38208
2025-03-03 13:49:43.984,39392
2025-03-03 13:49:44.000,38492
2025-03-03 13:49:44.012,38484
2025-03-03 13:49:44.028,39276
2025-03-03 13:49:44.039,39596
2025-03-03 13:49:44.050,40248
2025-03-03 13:49:44.063,41444
2025-03-03 13:49:44.075,41008
2025-03-03 13:49:44.090,44732
2025-03-03 13:49:44.102,44112
2025-03-03 13:49:44.113,48456
2025-03-03 13:49:44.124,48504
2025-03-03 13:49:44.137,48076
2025-03-03 13:49:44.149,47972
2025-03-03 13:49:44.162,49376
2025-03-03 13:49:44.179,47540
2025-03-03 13:49:44.192,48476
2025-03-03 13:49:44.203,48400
2025-03-03 13:49:44.217,48628
2025-03-03 13:49:44.230,49428
2025-03-03 13:49:44.241,49800
2025-03-03 13:49:44.254,50508
2025-03-03 13:49:44.267,52052
2025-03-03 13:49:44.279,53740
2025-03-03 13:49:44.290,55284
2025-03-03 13:49:44.303,56496
2025-03-03 13:49:44.314,58168
2025-03-03 13:49:44.329,66872
2025-03-03 13:49:44.345,63864
2025-03-03 13:49:44.356,64184
2025-03-03 13:49:44.368,68004
2025-03-03 13:49:44.384,68352
2025-03-03 13:49:44.396,68400
2025-03-03 13:49:44.412,68852
2025-03-03 13:49:44.423,68392
2025-03-03 13:49:44.434,69676
2025-03-03 13:49:44.447,71292
2025-03-03 13:49:44.460,71368
2025-03-03 13:49:44.472,72592
2025-03-03 13:49:44.487,74576
2025-03-03 13:49:44.498,75564
2025-03-03 13:49:44.509,76164
2025-03-03 13:49:44.520,78484
2025-03-03 13:49:44.535,81920
2025-03-03 13:49:44.546,83704
2025-03-03 13:49:44.559,84536
2025-03-03 13:49:44.571,84800
2025-03-03 13:49:44.583,93532
2025-03-03 13:49:44.598,92968
2025-03-03 13:49:44.609,93224
2025-03-03 13:49:44.624,95696
2025-03-03 13:49:44.636,96332
2025-03-03 13:49:44.651,98144
2025-03-03 13:49:44.663,103136
2025-03-03 13:49:44.677,105696
2025-03-03 13:49:44.688,105660
2025-03-03 13:49:44.703,106480
2025-03-03 13:49:44.714,107616
2025-03-03 13:49:44.725,109352
2025-03-03 13:49:44.739,109864
2025-03-03 13:49:44.751,112648
2025-03-03 13:49:44.762,113892
2025-03-03 13:49:44.775,147356
2025-03-03 13:49:44.786,198668
2025-03-03 13:49:44.798,250948
2025-03-03 13:49:44.811,301560
