Timestamp,Memory Usage (kB)
2025-03-03 13:42:16.453,26256
2025-03-03 13:42:16.465,32608
2025-03-03 13:42:16.480,36296
2025-03-03 13:42:16.493,34748
2025-03-03 13:42:16.505,34504
2025-03-03 13:42:16.518,36504
2025-03-03 13:42:16.529,37376
2025-03-03 13:42:16.541,38556
2025-03-03 13:42:16.553,39104
2025-03-03 13:42:16.565,38940
2025-03-03 13:42:16.578,39884
2025-03-03 13:42:16.591,41420
2025-03-03 13:42:16.603,41256
2025-03-03 13:42:16.615,41296
2025-03-03 13:42:16.628,41752
2025-03-03 13:42:16.640,45872
2025-03-03 13:42:16.652,44280
2025-03-03 13:42:16.665,48088
2025-03-03 13:42:16.678,48460
2025-03-03 13:42:16.689,49668
2025-03-03 13:42:16.701,49148
2025-03-03 13:42:16.714,49872
2025-03-03 13:42:16.726,50324
2025-03-03 13:42:16.739,50816
2025-03-03 13:42:16.752,51432
2025-03-03 13:42:16.764,51868
2025-03-03 13:42:16.777,53152
2025-03-03 13:42:16.788,52436
2025-03-03 13:42:16.801,53520
2025-03-03 13:42:16.815,54724
2025-03-03 13:42:16.830,55932
2025-03-03 13:42:16.848,62516
2025-03-03 13:42:16.861,61824
2025-03-03 13:42:16.878,65588
2025-03-03 13:42:16.894,69964
2025-03-03 13:42:16.907,69932
2025-03-03 13:42:16.922,71716
2025-03-03 13:42:16.936,71604
2025-03-03 13:42:16.947,72508
2025-03-03 13:42:16.960,72492
2025-03-03 13:42:16.973,74448
2025-03-03 13:42:16.987,77344
2025-03-03 13:42:16.999,78764
2025-03-03 13:42:17.012,79996
2025-03-03 13:42:17.027,84996
2025-03-03 13:42:17.039,85220
2025-03-03 13:42:17.050,85040
2025-03-03 13:42:17.061,85420
2025-03-03 13:42:17.073,91984
2025-03-03 13:42:17.089,93784
2025-03-03 13:42:17.106,94736
2025-03-03 13:42:17.120,97316
2025-03-03 13:42:17.132,99828
2025-03-03 13:42:17.144,104868
2025-03-03 13:42:17.156,107604
2025-03-03 13:42:17.168,108772
2025-03-03 13:42:17.181,110640
2025-03-03 13:42:17.194,112480
2025-03-03 13:42:17.206,114140
2025-03-03 13:42:17.219,116836
2025-03-03 13:42:17.232,134456
2025-03-03 13:42:17.243,191252
2025-03-03 13:42:17.255,254180
2025-03-03 13:42:17.268,320772
2025-03-03 13:42:17.282,388664
2025-03-03 13:42:17.296,457472
2025-03-03 13:42:17.309,520464
2025-03-03 13:42:17.321,573112
2025-03-03 13:42:17.333,619964
2025-03-03 13:42:17.344,664960
2025-03-03 13:42:17.359,725104
2025-03-03 13:42:17.371,773312
2025-03-03 13:42:17.383,811724
2025-03-03 13:42:17.396,824724
2025-03-03 13:42:17.409,850004
2025-03-03 13:42:17.422,878388
2025-03-03 13:42:17.435,911360
2025-03-03 13:42:17.448,939508
2025-03-03 13:42:17.461,968576
2025-03-03 13:42:17.473,997728
2025-03-03 13:42:17.486,1025536
2025-03-03 13:42:17.498,1042708
2025-03-03 13:42:17.511,1043104
2025-03-03 13:42:17.526,1043460
2025-03-03 13:42:17.538,1071212
2025-03-03 13:42:17.551,1123460
2025-03-03 13:42:17.563,1169280
2025-03-03 13:42:17.576,1213496
2025-03-03 13:42:17.587,1262012
2025-03-03 13:42:17.600,1312412
2025-03-03 13:42:17.614,1354120
2025-03-03 13:42:17.626,1391608
2025-03-03 13:42:17.639,1432900
2025-03-03 13:42:17.652,1481332
2025-03-03 13:42:17.665,1525308
2025-03-03 13:42:17.677,1564688
2025-03-03 13:42:17.690,1605220
2025-03-03 13:42:17.702,1644752
2025-03-03 13:42:17.715,1690912
2025-03-03 13:42:17.728,1713420
2025-03-03 13:42:17.740,1713592
2025-03-03 13:42:17.753,1714048
2025-03-03 13:42:17.767,1713956
2025-03-03 13:42:17.778,1713828
2025-03-03 13:42:17.791,1713720
2025-03-03 13:42:17.802,1713944
