Timestamp,Minor Page Faults,Major Page Faults
2025-03-03 13:41:10.843,760,0
2025-03-03 13:41:10.857,2363,0
2025-03-03 13:41:10.870,2527,0
2025-03-03 13:41:10.882,2586,0
2025-03-03 13:41:10.895,2589,0
2025-03-03 13:41:10.908,3167,0
2025-03-03 13:41:10.921,3455,0
2025-03-03 13:41:10.934,3929,0
2025-03-03 13:41:10.948,4027,0
2025-03-03 13:41:10.961,4045,0
2025-03-03 13:41:10.974,4242,0
2025-03-03 13:41:10.987,4562,0
2025-03-03 13:41:11.001,4592,0
2025-03-03 13:41:11.014,4942,0
2025-03-03 13:41:11.028,7245,0
2025-03-03 13:41:11.040,8006,0
2025-03-03 13:41:11.053,8042,0
2025-03-03 13:41:11.066,8043,0
2025-03-03 13:41:11.079,8118,0
2025-03-03 13:41:11.092,8199,0
2025-03-03 13:41:11.104,8213,0
2025-03-03 13:41:11.117,8415,0
2025-03-03 13:41:11.130,8631,0
2025-03-03 13:41:11.143,8675,0
2025-03-03 13:41:11.155,8992,0
2025-03-03 13:41:11.167,9114,0
2025-03-03 13:41:11.188,10055,0
2025-03-03 13:41:11.200,10137,0
2025-03-03 13:41:11.215,10663,0
2025-03-03 13:41:11.231,11760,0
2025-03-03 13:41:11.252,13323,0
2025-03-03 13:41:11.271,13897,0
2025-03-03 13:41:11.284,14561,0
2025-03-03 13:41:11.299,14568,0
2025-03-03 13:41:11.312,14571,0
2025-03-03 13:41:11.326,14599,0
2025-03-03 13:41:11.338,14973,0
2025-03-03 13:41:11.351,15137,0
2025-03-03 13:41:11.364,15898,0
2025-03-03 13:41:11.379,16457,0
2025-03-03 13:41:11.391,16720,0
2025-03-03 13:41:11.404,17157,0
2025-03-03 13:41:11.420,18650,0
2025-03-03 13:41:11.433,18862,0
2025-03-03 13:41:11.448,19645,0
2025-03-03 13:41:11.471,21392,0
2025-03-03 13:41:11.492,22087,0
2025-03-03 13:41:11.505,22601,0
2025-03-03 13:41:11.518,23338,0
2025-03-03 13:41:11.532,24773,0
2025-03-03 13:41:11.545,25034,0
2025-03-03 13:41:11.557,25369,0
2025-03-03 13:41:11.569,25690,0
2025-03-03 13:41:11.581,26165,0
2025-03-03 13:41:11.594,26493,0
2025-03-03 13:41:11.607,26977,0
2025-03-03 13:41:11.619,27416,0
2025-03-03 13:41:11.631,27807,0
2025-03-03 13:41:11.643,28193,0
2025-03-03 13:41:11.657,28707,0
2025-03-03 13:41:11.669,29140,0
2025-03-03 13:41:11.681,29585,0
2025-03-03 13:41:11.694,30061,0
2025-03-03 13:41:11.706,30512,0
2025-03-03 13:41:11.719,30995,0
2025-03-03 13:41:11.732,31448,0
2025-03-03 13:41:11.744,31893,0
2025-03-03 13:41:11.755,32321,0
2025-03-03 13:41:11.768,32774,0
2025-03-03 13:41:11.779,33205,0
2025-03-03 13:41:11.793,33723,0
2025-03-03 13:41:11.805,34138,0
2025-03-03 13:41:11.817,34573,0
2025-03-03 13:41:11.829,35015,0
2025-03-03 13:41:11.842,35478,0
2025-03-03 13:41:11.854,35942,0
2025-03-03 13:41:11.866,36373,0
2025-03-03 13:41:11.879,36848,0
2025-03-03 13:41:11.891,37317,0
2025-03-03 13:41:11.903,37752,0
2025-03-03 13:41:11.915,38201,0
2025-03-03 13:41:11.927,38639,0
2025-03-03 13:41:11.939,39081,0
2025-03-03 13:41:11.952,39569,0
2025-03-03 13:41:11.965,40020,0
2025-03-03 13:41:11.977,40470,0
2025-03-03 13:41:11.991,40953,0
2025-03-03 13:41:12.005,41456,0
2025-03-03 13:41:12.019,41950,0
2025-03-03 13:41:12.031,42407,0
2025-03-03 13:41:12.044,42843,0
2025-03-03 13:41:12.056,43301,0
2025-03-03 13:41:12.068,43739,0
2025-03-03 13:41:12.082,44246,0
2025-03-03 13:41:12.094,44680,0
2025-03-03 13:41:12.107,45128,0
2025-03-03 13:41:12.122,45673,0
2025-03-03 13:41:12.135,46147,0
2025-03-03 13:41:12.148,46615,0
2025-03-03 13:41:12.159,47042,0
2025-03-03 13:41:12.172,47523,0
2025-03-03 13:41:12.185,47976,0
2025-03-03 13:41:12.197,48440,0
2025-03-03 13:41:12.211,48938,0
2025-03-03 13:41:12.223,49398,0
2025-03-03 13:41:12.236,49874,0
2025-03-03 13:41:12.248,50329,0
2025-03-03 13:41:12.261,50718,0
2025-03-03 13:41:12.273,51120,0
2025-03-03 13:41:12.285,51533,0
2025-03-03 13:41:12.298,51960,0
2025-03-03 13:41:12.311,52445,0
2025-03-03 13:41:12.323,52897,0
2025-03-03 13:41:12.335,53287,0
2025-03-03 13:41:12.348,53703,0
2025-03-03 13:41:12.362,54192,0
2025-03-03 13:41:12.376,54720,0
2025-03-03 13:41:12.389,55192,0
2025-03-03 13:41:12.401,55643,0
2025-03-03 13:41:12.413,56077,0
2025-03-03 13:41:12.426,56562,0
2025-03-03 13:41:12.439,57017,0
2025-03-03 13:41:12.450,57444,0
2025-03-03 13:41:12.462,57891,0
2025-03-03 13:41:12.475,58363,0
2025-03-03 13:41:12.488,58835,0
2025-03-03 13:41:12.499,59272,0
2025-03-03 13:41:12.512,59723,0
2025-03-03 13:41:12.525,60207,0
2025-03-03 13:41:12.538,60715,0
2025-03-03 13:41:12.550,61168,0
2025-03-03 13:41:12.562,61610,0
2025-03-03 13:41:12.575,62096,0
2025-03-03 13:41:12.590,62627,0
2025-03-03 13:41:12.602,63097,0
2025-03-03 13:41:12.616,63622,0
2025-03-03 13:41:12.628,64044,0
2025-03-03 13:41:12.641,64455,0
2025-03-03 13:41:12.655,64937,0
2025-03-03 13:41:12.667,65403,0
2025-03-03 13:41:12.680,65872,0
2025-03-03 13:41:12.692,66326,0
2025-03-03 13:41:12.706,66810,0
2025-03-03 13:41:12.719,67309,0
2025-03-03 13:41:12.731,67750,0
2025-03-03 13:41:12.744,68220,0
2025-03-03 13:41:12.757,68658,0
2025-03-03 13:41:12.770,69177,0
2025-03-03 13:41:12.784,69688,0
2025-03-03 13:41:12.796,70135,0
2025-03-03 13:41:12.808,70581,0
2025-03-03 13:41:12.821,71044,0
2025-03-03 13:41:12.833,71496,0
2025-03-03 13:41:12.846,71964,0
2025-03-03 13:41:12.859,72457,0
2025-03-03 13:41:12.873,72944,0
2025-03-03 13:41:12.886,73437,0
2025-03-03 13:41:12.898,73883,0
2025-03-03 13:41:12.910,74323,0
2025-03-03 13:41:12.922,74759,0
2025-03-03 13:41:12.934,75203,0
2025-03-03 13:41:12.948,75691,0
2025-03-03 13:41:12.960,76151,0
2025-03-03 13:41:12.973,76623,0
2025-03-03 13:41:12.986,77129,0
2025-03-03 13:41:13.000,77632,0
