Timestamp,Minor Page Faults,Major Page Faults
2025-03-03 13:44:55.385,604,0
2025-03-03 13:44:55.397,1725,0
2025-03-03 13:44:55.414,2474,0
2025-03-03 13:44:55.427,2581,0
2025-03-03 13:44:55.441,2594,0
2025-03-03 13:44:55.458,3137,0
2025-03-03 13:44:55.471,3221,0
2025-03-03 13:44:55.483,3943,0
2025-03-03 13:44:55.496,3950,0
2025-03-03 13:44:55.512,4044,0
2025-03-03 13:44:55.524,4074,0
2025-03-03 13:44:55.536,4323,0
2025-03-03 13:44:55.548,4424,0
2025-03-03 13:44:55.561,4590,0
2025-03-03 13:44:55.575,4765,0
2025-03-03 13:44:55.588,6627,0
2025-03-03 13:44:55.600,8067,0
2025-03-03 13:44:55.612,8184,0
2025-03-03 13:44:55.632,8205,0
2025-03-03 13:44:55.643,8206,0
2025-03-03 13:44:55.657,8289,0
2025-03-03 13:44:55.670,8302,0
2025-03-03 13:44:55.683,8364,0
2025-03-03 13:44:55.696,8538,0
2025-03-03 13:44:55.707,8592,0
2025-03-03 13:44:55.718,8782,0
2025-03-03 13:44:55.731,8826,0
2025-03-03 13:44:55.747,9161,0
2025-03-03 13:44:55.758,9282,0
2025-03-03 13:44:55.773,9919,0
2025-03-03 13:44:55.788,10364,0
2025-03-03 13:44:55.800,11047,0
2025-03-03 13:44:55.819,13419,0
2025-03-03 13:44:55.831,13759,0
2025-03-03 13:44:55.848,14611,0
2025-03-03 13:44:55.859,14711,0
2025-03-03 13:44:55.872,14719,0
2025-03-03 13:44:55.884,14719,0
2025-03-03 13:44:55.896,14719,0
2025-03-03 13:44:55.913,14741,0
2025-03-03 13:44:55.927,15157,0
2025-03-03 13:44:55.939,15368,0
2025-03-03 13:44:55.951,16039,0
2025-03-03 13:44:55.964,16505,0
2025-03-03 13:44:55.980,16842,0
2025-03-03 13:44:55.997,17497,0
2025-03-03 13:44:56.009,18720,0
2025-03-03 13:44:56.021,19381,0
2025-03-03 13:44:56.036,19883,0
2025-03-03 13:44:56.048,21461,0
2025-03-03 13:44:56.066,21745,0
2025-03-03 13:44:56.078,22120,0
2025-03-03 13:44:56.091,22553,0
2025-03-03 13:44:56.106,23119,0
2025-03-03 13:44:56.122,24172,0
2025-03-03 13:44:56.137,25146,0
2025-03-03 13:44:56.150,25353,0
2025-03-03 13:44:56.163,25630,0
2025-03-03 13:44:56.176,25940,0
2025-03-03 13:44:56.191,26261,0
2025-03-03 13:44:56.206,26649,0
2025-03-03 13:44:56.220,26649,0
2025-03-03 13:44:56.233,26649,0
2025-03-03 13:44:56.247,26745,0
2025-03-03 13:44:56.259,26757,0
2025-03-03 13:44:56.271,26768,0
2025-03-03 13:44:56.284,26782,0
2025-03-03 13:44:56.296,26793,0
2025-03-03 13:44:56.309,26805,0
