Timestamp,Memory Usage (kB)
2025-03-05 03:18:51.810,28712
2025-03-05 03:18:51.827,29148
2025-03-05 03:18:51.838,35020
2025-03-05 03:18:51.850,36868
2025-03-05 03:18:51.866,35984
2025-03-05 03:18:51.877,35300
2025-03-05 03:18:51.889,37232
2025-03-05 03:18:51.904,37176
2025-03-05 03:18:51.916,40120
2025-03-05 03:18:51.930,41144
2025-03-05 03:18:51.945,39768
2025-03-05 03:18:51.957,39476
2025-03-05 03:18:51.967,40464
2025-03-05 03:18:51.980,41472
2025-03-05 03:18:51.993,40392
2025-03-05 03:18:52.004,41868
2025-03-05 03:18:52.016,43516
2025-03-05 03:18:52.030,44460
2025-03-05 03:18:52.041,45540
2025-03-05 03:18:52.052,48636
2025-03-05 03:18:52.066,46788
2025-03-05 03:18:52.078,52576
2025-03-05 03:18:52.090,51900
2025-03-05 03:18:52.103,51188
2025-03-05 03:18:52.114,51900
2025-03-05 03:18:52.131,50472
2025-03-05 03:18:52.143,50676
2025-03-05 03:18:52.155,50452
2025-03-05 03:18:52.167,52816
2025-03-05 03:18:52.181,53032
2025-03-05 03:18:52.195,52172
2025-03-05 03:18:52.207,52032
2025-03-05 03:18:52.221,53336
2025-03-05 03:18:52.233,54132
2025-03-05 03:18:52.247,52636
2025-03-05 03:18:52.263,53884
2025-03-05 03:18:52.277,55192
2025-03-05 03:18:52.289,57664
2025-03-05 03:18:52.304,59932
2025-03-05 03:18:52.315,62636
2025-03-05 03:18:52.330,66096
2025-03-05 03:18:52.342,67216
2025-03-05 03:18:52.358,68396
2025-03-05 03:18:52.370,70672
2025-03-05 03:18:52.383,70640
2025-03-05 03:18:52.394,70744
2025-03-05 03:18:52.405,73320
2025-03-05 03:18:52.418,73212
2025-03-05 03:18:52.433,72988
2025-03-05 03:18:52.444,71444
2025-03-05 03:18:52.455,75108
2025-03-05 03:18:52.468,73384
2025-03-05 03:18:52.479,74220
2025-03-05 03:18:52.493,78460
2025-03-05 03:18:52.505,79564
2025-03-05 03:18:52.519,75540
2025-03-05 03:18:52.530,78392
2025-03-05 03:18:52.542,78444
2025-03-05 03:18:52.555,80552
2025-03-05 03:18:52.566,86392
2025-03-05 03:18:52.579,85984
2025-03-05 03:18:52.592,85984
2025-03-05 03:18:52.607,87136
2025-03-05 03:18:52.619,93892
2025-03-05 03:18:52.632,94592
2025-03-05 03:18:52.643,95140
2025-03-05 03:18:52.658,97344
2025-03-05 03:18:52.669,98668
2025-03-05 03:18:52.682,100056
2025-03-05 03:18:52.695,101988
2025-03-05 03:18:52.707,106748
2025-03-05 03:18:52.718,107628
2025-03-05 03:18:52.731,107476
2025-03-05 03:18:52.744,108912
2025-03-05 03:18:52.760,110316
2025-03-05 03:18:52.770,112252
2025-03-05 03:18:52.781,113080
2025-03-05 03:18:52.793,116268
2025-03-05 03:18:52.805,117420
2025-03-05 03:18:52.817,137828
2025-03-05 03:18:52.829,181152
2025-03-05 03:18:52.841,216572
2025-03-05 03:18:52.853,254656
2025-03-05 03:18:52.866,302812
2025-03-05 03:18:52.880,347896
2025-03-05 03:18:52.892,389108
2025-03-05 03:18:52.904,435104
2025-03-05 03:18:52.916,482488
2025-03-05 03:18:52.928,524772
2025-03-05 03:18:52.939,574424
2025-03-05 03:18:52.951,620888
2025-03-05 03:18:52.963,666580
2025-03-05 03:18:52.974,708336
2025-03-05 03:18:52.986,754828
2025-03-05 03:18:52.997,793536
2025-03-05 03:18:53.009,837968
2025-03-05 03:18:53.022,878796
2025-03-05 03:18:53.034,914924
2025-03-05 03:18:53.046,951848
2025-03-05 03:18:53.058,994444
2025-03-05 03:18:53.070,1037960
2025-03-05 03:18:53.082,1084064
2025-03-05 03:18:53.093,1130708
2025-03-05 03:18:53.105,1177040
2025-03-05 03:18:53.117,1225768
2025-03-05 03:18:53.129,1268516
2025-03-05 03:18:53.141,1311628
2025-03-05 03:18:53.153,1358260
2025-03-05 03:18:53.165,1404484
