Timestamp,Memory Usage (kB)
2025-03-05 03:43:42.460,30388
2025-03-05 03:43:42.473,29428
2025-03-05 03:43:42.485,34444
2025-03-05 03:43:42.498,35464
2025-03-05 03:43:42.515,34268
2025-03-05 03:43:42.527,37904
2025-03-05 03:43:42.541,35612
2025-03-05 03:43:42.552,38488
2025-03-05 03:43:42.565,42368
2025-03-05 03:43:42.577,40236
2025-03-05 03:43:42.588,41416
2025-03-05 03:43:42.602,40888
2025-03-05 03:43:42.613,43264
2025-03-05 03:43:42.625,45248
2025-03-05 03:43:42.637,42564
2025-03-05 03:43:42.648,43516
2025-03-05 03:43:42.664,41448
2025-03-05 03:43:42.676,44632
2025-03-05 03:43:42.687,42876
2025-03-05 03:43:42.702,46680
2025-03-05 03:43:42.713,48408
2025-03-05 03:43:42.725,47212
2025-03-05 03:43:42.736,46860
2025-03-05 03:43:42.750,57292
2025-03-05 03:43:42.765,50560
2025-03-05 03:43:42.777,54376
2025-03-05 03:43:42.793,48448
2025-03-05 03:43:42.804,54000
2025-03-05 03:43:42.815,55420
2025-03-05 03:43:42.830,52916
2025-03-05 03:43:42.841,52396
2025-03-05 03:43:42.852,53660
2025-03-05 03:43:42.863,53788
2025-03-05 03:43:42.875,56108
2025-03-05 03:43:42.889,54288
2025-03-05 03:43:42.903,54724
2025-03-05 03:43:42.914,54656
2025-03-05 03:43:42.928,54164
2025-03-05 03:43:42.942,54456
2025-03-05 03:43:42.954,51664
2025-03-05 03:43:42.965,57212
2025-03-05 03:43:42.976,57808
2025-03-05 03:43:42.991,57168
2025-03-05 03:43:43.003,58980
2025-03-05 03:43:43.015,59544
2025-03-05 03:43:43.027,59912
2025-03-05 03:43:43.042,62656
2025-03-05 03:43:43.053,63988
2025-03-05 03:43:43.065,68428
2025-03-05 03:43:43.077,68984
2025-03-05 03:43:43.093,69336
2025-03-05 03:43:43.106,69816
2025-03-05 03:43:43.118,70576
2025-03-05 03:43:43.129,77948
2025-03-05 03:43:43.142,74848
2025-03-05 03:43:43.153,74340
2025-03-05 03:43:43.166,72084
2025-03-05 03:43:43.178,75408
2025-03-05 03:43:43.189,77440
2025-03-05 03:43:43.202,75500
2025-03-05 03:43:43.214,73512
2025-03-05 03:43:43.226,74524
2025-03-05 03:43:43.238,76736
2025-03-05 03:43:43.249,78264
2025-03-05 03:43:43.261,81300
2025-03-05 03:43:43.275,78892
2025-03-05 03:43:43.289,79008
2025-03-05 03:43:43.302,80036
2025-03-05 03:43:43.317,81276
2025-03-05 03:43:43.328,81704
2025-03-05 03:43:43.340,82360
2025-03-05 03:43:43.352,90388
2025-03-05 03:43:43.369,89768
2025-03-05 03:43:43.380,89440
2025-03-05 03:43:43.391,91432
2025-03-05 03:43:43.402,88588
2025-03-05 03:43:43.418,90012
2025-03-05 03:43:43.429,98436
2025-03-05 03:43:43.441,94748
2025-03-05 03:43:43.457,97164
2025-03-05 03:43:43.470,100012
2025-03-05 03:43:43.486,97524
2025-03-05 03:43:43.497,103604
2025-03-05 03:43:43.508,102608
2025-03-05 03:43:43.519,102560
2025-03-05 03:43:43.532,104380
2025-03-05 03:43:43.545,108948
2025-03-05 03:43:43.558,112200
2025-03-05 03:43:43.571,110496
2025-03-05 03:43:43.582,111876
2025-03-05 03:43:43.596,112408
2025-03-05 03:43:43.607,112432
2025-03-05 03:43:43.618,111040
2025-03-05 03:43:43.634,114048
2025-03-05 03:43:43.646,119504
2025-03-05 03:43:43.657,116672
2025-03-05 03:43:43.668,118564
2025-03-05 03:43:43.679,119076
2025-03-05 03:43:43.692,127864
2025-03-05 03:43:43.704,156540
2025-03-05 03:43:43.716,205628
2025-03-05 03:43:43.727,229632
2025-03-05 03:43:43.738,270112
2025-03-05 03:43:43.751,298196
2025-03-05 03:43:43.765,324068
2025-03-05 03:43:43.777,375460
2025-03-05 03:43:43.789,402408
2025-03-05 03:43:43.800,438900
2025-03-05 03:43:43.813,481072
2025-03-05 03:43:43.824,506840
2025-03-05 03:43:43.836,552388
2025-03-05 03:43:43.848,589832
2025-03-05 03:43:43.860,614648
2025-03-05 03:43:43.872,665352
2025-03-05 03:43:43.884,698052
2025-03-05 03:43:43.897,733852
2025-03-05 03:43:43.909,786124
2025-03-05 03:43:43.921,816616
2025-03-05 03:43:43.934,843644
2025-03-05 03:43:43.946,875684
2025-03-05 03:43:43.959,901140
2025-03-05 03:43:43.971,927924
2025-03-05 03:43:43.985,952288
2025-03-05 03:43:43.997,984776
2025-03-05 03:43:44.010,1006132
2025-03-05 03:43:44.023,1046156
2025-03-05 03:43:44.035,1068892
2025-03-05 03:43:44.048,1111444
2025-03-05 03:43:44.061,1150432
2025-03-05 03:43:44.073,1175660
2025-03-05 03:43:44.084,1223764
2025-03-05 03:43:44.097,1256804
2025-03-05 03:43:44.108,1285496
2025-03-05 03:43:44.120,1333296
2025-03-05 03:43:44.132,1363344
2025-03-05 03:43:44.145,1404444
2025-03-05 03:43:44.157,1449588
2025-03-05 03:43:44.169,1473916
2025-03-05 03:43:44.181,1517532
2025-03-05 03:43:44.194,1556364
2025-03-05 03:43:44.206,1584260
2025-03-05 03:43:44.219,1629536
