Timestamp,Minor Page Faults,Major Page Faults
2025-03-05 03:50:05.536,4339,0
2025-03-05 03:50:05.549,4422,0
2025-03-05 03:50:05.561,4604,0
2025-03-05 03:50:05.576,4614,0
2025-03-05 03:50:05.588,4702,0
2025-03-05 03:50:05.606,5650,0
2025-03-05 03:50:05.619,7027,0
2025-03-05 03:50:05.636,8168,0
2025-03-05 03:50:05.651,8198,0
2025-03-05 03:50:05.663,8199,0
2025-03-05 03:50:05.676,8210,0
2025-03-05 03:50:05.688,8210,0
2025-03-05 03:50:05.704,8212,0
2025-03-05 03:50:05.718,8295,0
2025-03-05 03:50:05.730,8381,0
2025-03-05 03:50:05.745,8593,0
2025-03-05 03:50:05.759,8762,0
2025-03-05 03:50:05.774,8795,0
2025-03-05 03:50:05.786,8821,0
2025-03-05 03:50:05.799,8823,0
2025-03-05 03:50:05.812,9011,0
2025-03-05 03:50:05.828,9055,0
2025-03-05 03:50:05.843,9368,0
2025-03-05 03:50:05.858,9402,0
2025-03-05 03:50:05.869,9512,0
2025-03-05 03:50:05.884,9983,0
2025-03-05 03:50:05.898,10461,0
2025-03-05 03:50:05.910,10564,0
2025-03-05 03:50:05.928,10964,0
2025-03-05 03:50:05.944,11410,0
2025-03-05 03:50:05.957,12229,0
2025-03-05 03:50:05.972,13624,0
2025-03-05 03:50:05.987,13673,0
2025-03-05 03:50:06.000,14046,0
2025-03-05 03:50:06.019,14826,0
2025-03-05 03:50:06.032,14857,0
2025-03-05 03:50:06.046,14912,0
2025-03-05 03:50:06.057,14912,0
2025-03-05 03:50:06.073,14928,0
2025-03-05 03:50:06.085,14928,0
2025-03-05 03:50:06.101,14932,0
2025-03-05 03:50:06.114,14951,0
2025-03-05 03:50:06.125,15198,0
2025-03-05 03:50:06.137,15344,0
2025-03-05 03:50:06.153,15522,0
2025-03-05 03:50:06.164,15620,0
2025-03-05 03:50:06.177,16214,0
2025-03-05 03:50:06.189,16512,0
2025-03-05 03:50:06.205,16791,0
2025-03-05 03:50:06.220,17033,0
2025-03-05 03:50:06.233,17146,0
2025-03-05 03:50:06.250,17552,0
2025-03-05 03:50:06.262,18139,0
2025-03-05 03:50:06.279,18821,0
2025-03-05 03:50:06.296,18923,0
2025-03-05 03:50:06.314,19546,0
2025-03-05 03:50:06.327,19780,0
2025-03-05 03:50:06.341,20873,0
2025-03-05 03:50:06.356,21803,0
2025-03-05 03:50:06.372,21885,0
2025-03-05 03:50:06.389,22086,0
2025-03-05 03:50:06.407,22420,0
2025-03-05 03:50:06.419,22565,0
2025-03-05 03:50:06.435,22942,0
2025-03-05 03:50:06.454,23436,0
2025-03-05 03:50:06.466,23802,0
2025-03-05 03:50:06.480,25009,0
2025-03-05 03:50:06.493,25377,0
2025-03-05 03:50:06.505,25499,0
2025-03-05 03:50:06.518,25728,0
2025-03-05 03:50:06.533,25983,0
2025-03-05 03:50:06.545,26145,0
2025-03-05 03:50:06.560,26387,0
2025-03-05 03:50:06.573,26573,0
2025-03-05 03:50:06.586,26853,0
2025-03-05 03:50:06.602,26876,0
2025-03-05 03:50:06.615,26876,0
2025-03-05 03:50:06.627,27191,0
2025-03-05 03:50:06.640,27202,0
2025-03-05 03:50:06.652,27209,0
2025-03-05 03:50:06.664,27219,0
2025-03-05 03:50:06.679,27230,0
2025-03-05 03:50:06.691,27237,0
2025-03-05 03:50:06.704,27245,0
2025-03-05 03:50:06.718,27256,0
2025-03-05 03:50:06.733,27262,0
2025-03-05 03:50:06.747,27270,0
2025-03-05 03:50:06.761,27278,0
2025-03-05 03:50:06.775,27283,0
2025-03-05 03:50:06.789,27292,0
2025-03-05 03:50:06.802,27303,0
2025-03-05 03:50:06.814,27308,0
2025-03-05 03:50:06.827,27317,0
2025-03-05 03:50:06.840,27329,0
2025-03-05 03:50:06.852,27335,0
2025-03-05 03:50:06.864,27344,0
2025-03-05 03:50:06.878,27356,0
2025-03-05 03:50:06.890,27363,0
2025-03-05 03:50:06.903,27371,0
2025-03-05 03:50:06.917,27384,0
2025-03-05 03:50:06.930,27392,0
2025-03-05 03:50:06.943,27399,0
2025-03-05 03:50:06.955,27411,0
2025-03-05 03:50:06.969,27418,0
2025-03-05 03:50:06.981,27423,0
2025-03-05 03:50:06.995,27433,0
2025-03-05 03:50:07.010,27440,0
2025-03-05 03:50:07.022,27448,0
2025-03-05 03:50:07.035,27459,0
2025-03-05 03:50:07.047,27465,0
2025-03-05 03:50:07.059,27474,0
2025-03-05 03:50:07.072,27485,0
2025-03-05 03:50:07.084,27491,0
2025-03-05 03:50:07.097,27500,0
2025-03-05 03:50:07.110,27512,0
2025-03-05 03:50:07.123,27520,0
2025-03-05 03:50:07.135,27527,0
2025-03-05 03:50:07.149,27539,0
2025-03-05 03:50:07.162,27547,0
2025-03-05 03:50:07.174,27554,0
2025-03-05 03:50:07.188,27685,0
2025-03-05 03:50:07.201,27685,0
2025-03-05 03:50:07.215,27685,0
2025-03-05 03:50:07.229,27685,0
2025-03-05 03:50:07.241,27685,0
2025-03-05 03:50:07.253,27685,0
2025-03-05 03:50:07.271,27685,0
2025-03-05 03:50:07.283,27685,0
2025-03-05 03:50:07.299,27685,0
2025-03-05 03:50:07.312,27685,0
2025-03-05 03:50:07.324,27685,0
2025-03-05 03:50:07.343,27685,0
2025-03-05 03:50:07.355,27685,0
2025-03-05 03:50:07.368,27685,0
2025-03-05 03:50:07.380,27685,0
2025-03-05 03:50:07.395,27685,0
2025-03-05 03:50:07.407,27685,0
2025-03-05 03:50:07.423,27685,0
2025-03-05 03:50:07.434,27685,0
2025-03-05 03:50:07.449,27685,0
2025-03-05 03:50:07.462,28622,0
2025-03-05 03:50:07.484,28856,0
2025-03-05 03:50:07.510,28865,0
2025-03-05 03:50:07.526,29888,0
2025-03-05 03:50:07.545,29888,0
2025-03-05 03:50:07.561,29888,0
2025-03-05 03:50:07.575,29888,0
2025-03-05 03:50:07.590,29888,0
2025-03-05 03:50:07.612,29888,0
2025-03-05 03:50:07.632,29888,0
2025-03-05 03:50:07.649,29888,0
2025-03-05 03:50:07.666,29888,0
2025-03-05 03:50:07.683,29888,0
2025-03-05 03:50:07.694,29888,0
2025-03-05 03:50:07.705,29888,0
2025-03-05 03:50:07.718,29888,0
2025-03-05 03:50:07.732,29888,0
2025-03-05 03:50:07.744,29888,0
2025-03-05 03:50:07.762,29888,0
2025-03-05 03:50:07.775,29888,0
2025-03-05 03:50:07.791,29888,0
2025-03-05 03:50:07.804,29888,0
2025-03-05 03:50:07.815,29888,0
2025-03-05 03:50:07.832,29888,0
2025-03-05 03:50:07.844,29888,0
2025-03-05 03:50:07.860,29888,0
2025-03-05 03:50:07.872,29888,0
2025-03-05 03:50:07.887,29888,0
2025-03-05 03:50:07.899,29888,0
2025-03-05 03:50:07.911,29888,0
2025-03-05 03:50:07.923,29888,0
2025-03-05 03:50:07.936,29888,0
2025-03-05 03:50:07.949,29888,0
2025-03-05 03:50:07.965,29888,0
2025-03-05 03:50:07.981,29888,0
2025-03-05 03:50:07.996,29888,0
2025-03-05 03:50:08.013,29888,0
2025-03-05 03:50:08.031,29888,0
2025-03-05 03:50:08.046,29888,0
2025-03-05 03:50:08.060,29888,0
2025-03-05 03:50:08.072,29888,0
2025-03-05 03:50:08.084,29888,0
2025-03-05 03:50:08.101,29888,0
2025-03-05 03:50:08.114,29888,0
2025-03-05 03:50:08.125,29888,0
2025-03-05 03:50:08.137,29888,0
2025-03-05 03:50:08.154,29888,0
2025-03-05 03:50:08.169,29888,0
2025-03-05 03:50:08.182,29888,0
2025-03-05 03:50:08.198,29888,0
2025-03-05 03:50:08.211,29888,0
2025-03-05 03:50:08.224,29888,0
2025-03-05 03:50:08.241,29888,0
2025-03-05 03:50:08.254,29888,0
2025-03-05 03:50:08.267,29888,0
2025-03-05 03:50:08.284,29888,0
2025-03-05 03:50:08.297,29888,0
2025-03-05 03:50:08.314,29888,0
2025-03-05 03:50:08.326,29888,0
2025-03-05 03:50:08.339,29888,0
2025-03-05 03:50:08.353,29888,0
2025-03-05 03:50:08.368,29888,0
2025-03-05 03:50:08.382,29888,0
2025-03-05 03:50:08.397,29888,0
2025-03-05 03:50:08.409,29888,0
2025-03-05 03:50:08.422,29888,0
2025-03-05 03:50:08.434,29888,0
2025-03-05 03:50:08.452,29888,0
