tool,phase,min_mem,max_mem,mean_mem,n_points
kernel,1,943.60078125,2582.6765625,1792.6798437500001,5
kernel,2,2591.8515625,2591.8515625,2591.8515625,6
kernel,3,2591.8515625,5626.45234375,4284.632486979167,12
psutil,1,944.259375,2565.73125,1773.656875,5
psutil,2,2592.50625,2592.50625,2592.50625,6
psutil,3,2592.50625,5840.671875,4311.754375,25
resource,1,943.5859375,2525.87421875,1751.1415625000002,5
resource,2,2591.82421875,2591.82421875,2591.82421875,6
resource,3,2591.82421875,5887.89453125,4909.466071428571,14
tracemalloc,1,0.0031242370605468,1647.9530906677246,1318.3630973815918,5
tracemalloc,2,1647.9531211853027,1647.953182220459,1647.9531415303547,6
tracemalloc,3,2307.1601524353027,4943.856945037842,3904.3873743497406,13
traceq_kernel,1,98.171875,213.20859375,144.29578125,10
traceq_kernel,2,237.60859375,760.00859375,499.51335565476194,21
traceq_kernel,3,786.00859375,5811.94140625,2881.1684359374995,125
traceq_psutil,1,98.6375,218.77421875,148.51140625,10
traceq_psutil,2,244.37421875,761.57421875,505.9932663690476,21
traceq_psutil,3,787.57421875,5761.5328125,2882.5888397216795,128
traceq_resource,1,427.4953125,1686.40234375,1230.718046875,10
traceq_resource,2,1777.20234375,2571.47734375,2381.866629464285,21
traceq_resource,3,2571.47734375,5867.540364583333,4278.461630771396,74
traceq_tracemalloc,1,494.404231262207,2471.9466440200804,2158.8359772872927,10
traceq_tracemalloc,2,2471.9466440200804,2471.9466440200804,2471.94664402008,21
traceq_tracemalloc,3,0.0301332473754882,5767.850218963623,4152.864151611328,75
