tool,step,memory_mb
psutil,0,944.259375
psutil,1,1363.83125
psutil,2,1787.03125
psutil,3,2207.43125
psutil,4,2565.73125
psutil,5,2592.50625
psutil,6,2592.50625
psutil,7,2592.50625
psutil,8,2592.50625
psutil,9,2592.50625
psutil,10,2592.50625
psutil,11,2592.50625
psutil,12,3137.4
psutil,13,3919.0546875
psutil,14,4208.2859375
psutil,15,4449.4859375
psutil,16,4687.8859375
psutil,17,4925.4859375
psutil,18,5167.0859375
psutil,19,5391.9015625
psutil,20,4285.9203125
psutil,21,3274.3390625
psutil,22,3603.5390625
psutil,23,4872.671875
psutil,24,5006.671875
psutil,25,5138.671875
psutil,26,5276.671875
psutil,27,5416.671875
psutil,28,5558.671875
psutil,29,5694.671875
psutil,30,5840.671875
psutil,31,2754.71875
psutil,32,2908.71875
psutil,33,3064.71875
psutil,34,3226.71875
psutil,35,3390.71875
tracemalloc,0,0.003124237060546875
tracemalloc,1,1647.9530906677246
tracemalloc,2,1647.9530906677246
tracemalloc,3,1647.9530906677246
tracemalloc,4,1647.9530906677246
tracemalloc,5,1647.9531211853027
tracemalloc,6,1647.9531211853027
tracemalloc,7,1647.9531211853027
tracemalloc,8,1647.9531211853027
tracemalloc,9,1647.953182220459
tracemalloc,10,1647.953182220459
tracemalloc,11,2307.1601524353027
tracemalloc,12,3295.9706077575684
tracemalloc,13,4614.279500579834
tracemalloc,14,4943.8567237854
tracemalloc,15,4943.8567237854
tracemalloc,16,4943.856746673584
tracemalloc,17,4943.856853485107
tracemalloc,18,4943.856899261475
tracemalloc,19,4943.856945037842
tracemalloc,20,2966.313985443115
tracemalloc,21,2966.3140312194823
tracemalloc,22,2471.928325653076
tracemalloc,23,2471.9283714294434
kernel,0,943.60078125
kernel,1,1389.16875
kernel,2,1817.5765625
kernel,3,2230.3765625
kernel,4,2582.6765625
kernel,5,2591.8515625
kernel,6,2591.8515625
kernel,7,2591.8515625
kernel,8,2591.8515625
kernel,9,2591.8515625
kernel,10,2591.8515625
kernel,11,2591.8515625
kernel,12,3160.77421875
kernel,13,4071.18984375
kernel,14,4438.05234375
kernel,15,4676.85234375
kernel,16,4916.45234375
kernel,17,5152.45234375
kernel,18,5388.85234375
kernel,19,5626.45234375
kernel,20,5201.26171875
kernel,21,2903.69921875
kernel,22,3287.69921875
resource,0,943.5859375
resource,1,1355.94921875
resource,2,1763.94921875
resource,3,2166.34921875
resource,4,2525.87421875
resource,5,2591.82421875
resource,6,2591.82421875
resource,7,2591.82421875
resource,8,2591.82421875
resource,9,2591.82421875
resource,10,2591.82421875
resource,11,2591.82421875
resource,12,3135.921875
resource,13,3933.97734375
resource,14,4338.40859375
resource,15,4629.22421875
resource,16,4865.22421875
resource,17,5102.42421875
resource,18,5336.82421875
resource,19,5564.02421875
resource,20,5766.74921875
resource,21,5833.52421875
resource,22,5858.609375
resource,23,5887.89453125
resource,24,5887.89453125
traceq_psutil,0,98.6375
traceq_psutil,1,98.9375
traceq_psutil,2,104.11953125
traceq_psutil,3,121.17421875
traceq_psutil,4,137.17421875
traceq_psutil,5,153.97421875
traceq_psutil,6,169.57421875
traceq_psutil,7,183.57421875
traceq_psutil,8,199.17421875
traceq_psutil,9,218.77421875
traceq_psutil,10,244.37421875
traceq_psutil,11,269.97421875
traceq_psutil,12,296.77421875
traceq_psutil,13,325.57421875
traceq_psutil,14,352.37421875
traceq_psutil,15,379.57421875
traceq_psutil,16,405.57421875
traceq_psutil,17,431.57421875
traceq_psutil,18,458.77421875
traceq_psutil,19,486.37421875
traceq_psutil,20,511.17421875
traceq_psutil,21,535.97421875
traceq_psutil,22,561.17421875
traceq_psutil,23,584.37421875
traceq_psutil,24,607.17421875
traceq_psutil,25,631.17421875
traceq_psutil,26,655.97421875
traceq_psutil,27,681.97421875
traceq_psutil,28,708.77421875
traceq_psutil,29,735.57421875
traceq_psutil,30,761.57421875
traceq_psutil,31,787.57421875
traceq_psutil,32,812.77421875
traceq_psutil,33,838.77421875
traceq_psutil,34,864.37421875
traceq_psutil,35,890.77421875
traceq_psutil,36,913.92421875
traceq_psutil,37,923.32421875
traceq_psutil,38,923.44921875
traceq_psutil,39,923.44921875
traceq_psutil,40,923.44921875
traceq_psutil,41,923.44921875
traceq_psutil,42,923.44921875
traceq_psutil,43,923.44921875
traceq_psutil,44,923.44921875
traceq_psutil,45,923.44921875
traceq_psutil,46,923.44921875
traceq_psutil,47,923.44921875
