num_samples,model_name,rmse,mae,r2,accuracy,score,residuals,y_pred,y_test
64,gradient_boosting,0.017040909165189334,0.014381726296132111,0.9959301293896282,0.8461538461538461,2.57891444172433,"[0.018069135169725303, 0.003955321598041683, -0.02769541800378253, 0.013762584238337261, 0.002879520608618541, 0.020273181332391366, -0.007777272868796259, -0.035926142084631296, -0.00859818664431844, -0.007675962656771174, 0.010440243247814174, 0.01204637669374442, 0.017863096702744996]","[0.25408916968053513, 1.0012924302737032, 0.13984751761315753, 0.3841014396060638, 0.16812318528330855, 0.221117046939093, 0.14173036735121813, 0.1844373928984334, 0.3884377659086414, 0.8935351342062503, 0.3798160026831754, 0.2208675942535212, 0.3093425612562394]","[0.27215830485026044, 1.0052477518717449, 0.112152099609375, 0.39786402384440106, 0.1710027058919271, 0.24139022827148438, 0.13395309448242188, 0.1485112508138021, 0.37983957926432294, 0.8858591715494791, 0.39025624593098956, 0.23291397094726562, 0.3272056579589844]"
52,gradient_boosting,0.0397211288065478,0.02101708491293709,0.9887967797531371,0.8181818181818182,2.4983221413596253,"[-0.0047325219370291105, -0.01170133334923193, -0.025004424928471713, -0.00609862774762393, 0.006681591350112204, 0.006335372424577157, 0.011336417171562863, -0.019517461092107974, -0.12564004607552115, 0.012270892988975546, 0.0018692449770943975]","[0.47991410152687286, 0.15917880120404965, 0.1562261961687061, 0.7006049550588218, 0.1643211145418149, 1.0008769485389646, 0.5369080591467965, 0.13791803482257672, 1.4299371753886723, 0.2604977634237849, 0.695276852841916]","[0.47518157958984375, 0.14747746785481772, 0.13122177124023438, 0.6945063273111979, 0.1710027058919271, 1.0072123209635417, 0.5482444763183594, 0.11840057373046875, 1.3042971293131511, 0.27276865641276044, 0.6971460978190104]"
42,gradient_boosting,0.02656357920315707,0.024132304912294886,0.9927659057624717,0.6666666666666666,2.2117709082380985,"[0.03334256516426676, 0.006136216254076454, -0.02761229535420795, 0.04119253345415047, 0.03199788394479108, 0.006653480502506609, 0.02406526402100817, -0.019359046128484075, -0.026831459387162387]","[0.23942609124849368, 0.6994314615616788, 0.927142070337932, 0.2481268228284016, 0.9732498679269538, 0.12729961397991527, 0.3759693225675335, 0.24185635040908304, 0.17534271020096448]","[0.27276865641276044, 0.7055676778157552, 0.899529774983724, 0.28931935628255206, 1.0052477518717449, 0.13395309448242188, 0.4000345865885417, 0.22249730428059897, 0.1485112508138021]"
34,gradient_boosting,0.021669056901484345,0.019395485900830563,0.9925993027613519,0.7142857142857143,2.3113176194884035,"[-0.0255350894748283, -0.021813307937239096, 0.012612615195290694, -0.037760756430058245, 0.004872109270437686, -0.016658907494070535, 0.016515615503889386]","[0.40150529414605224, 0.2546153810980464, 0.13810734533530827, 0.18627200724386034, 0.8946576657132863, 0.16413637534888825, 0.20179187961329811]","[0.37597020467122394, 0.23280207316080728, 0.15071996053059897, 0.1485112508138021, 0.899529774983724, 0.14747746785481772, 0.2183074951171875]"
28,gradient_boosting,0.18438442249477643,0.10689984855157346,0.8885068726142638,0.6666666666666666,1.9519309547960293,"[0.09951724832914643, -0.0012560711599145513, -0.07583665283503715, -0.001699585852235952, 0.43291555239287316, 0.03017398074023342]","[0.5923950848414264, 0.13520916564233643, 0.9616958243845163, 0.15241954638283492, 1.3107037306474913, 0.36986060584830827]","[0.6919123331705729, 0.13395309448242188, 0.8858591715494791, 0.15071996053059897, 1.7436192830403645, 0.4000345865885417]"
23,gradient_boosting,0.2132184170078818,0.15164344054917198,0.8650226270080916,0.2,0.9656911002714467,"[0.0036782109015506548, 0.17059920566800912, 0.42890127527080946, -0.11082146773601753, 0.04421704316947313]","[0.1579212662306108, 0.37764527065035025, 1.314718007769555, 0.8027338009065904, 0.11785418485787062]","[0.16159947713216147, 0.5482444763183594, 1.7436192830403645, 0.6919123331705729, 0.16207122802734375]"
19,gradient_boosting,0.22711091800276204,0.15460118374666876,0.8496988862425223,0.5,1.5266601023443092,"[0.43507360479386814, -0.11326014909375048, -0.005492283656339525, 0.06457869744271694]","[1.3085456782464964, 1.1093907745006515, 0.15400353447014162, 1.261196449041658]","[1.7436192830403645, 0.996130625406901, 0.1485112508138021, 1.325775146484375]"
16,gradient_boosting,0.2205602676902238,0.13075885269876014,0.8656154222801994,0.75,2.05253391675342,"[0.4365085244947047, 0.018780240519611135, 0.0603320958829312, -0.007414549897793582]","[1.3071107585456598, 1.3069949059647639, 0.8255270756665479, 0.12581512362826233]","[1.7436192830403645, 1.325775146484375, 0.8858591715494791, 0.11840057373046875]"
13,gradient_boosting,0.24969595180496554,0.1524277773005139,0.8903443693778786,0.3333333333333333,1.2270646701066483,"[-0.01561493466892086, -0.009570273274532942, 0.4320981239580879]","[0.1340155083993896, 0.18057297916646003, 1.3115211590822766]","[0.11840057373046875, 0.1710027058919271, 1.7436192830403645]"
11,gradient_boosting,0.24627850812745214,0.15818328940542833,0.8805409297289528,0.3333333333333333,1.2155361033561636,"[0.04927283541883126, 0.4237086718846885, -0.0015683609127652015]","[0.3305667438454917, 1.319910611155676, 0.11996893464323395]","[0.37983957926432294, 1.7436192830403645, 0.11840057373046875]"
