,avg_peak_memory_usage
1,0.1042798360188802
4,0.1117998758951823
7,0.1191418965657552
10,0.1266810099283854
13,0.11177444458007812
16,0.1266657511393229
19,0.14156595865885416
22,0.15644963582356772
25,0.11916097005208333
28,0.14156595865885416
31,0.16385523478190103
34,0.18624242146809897
37,0.12667083740234375
40,0.15645980834960938
43,0.18626785278320312
46,0.21604792277018228
49,0.11177571614583333
52,0.12667338053385416
55,0.14155451456705728
58,0.15645472208658853
61,0.12666829427083334
64,0.15645980834960938
67,0.18625513712565103
70,0.21606953938802084
73,0.14157485961914062
76,0.18625640869140625
79,0.23094304402669272
82,0.27564748128255206
85,0.1564814249674479
88,0.21605046590169272
91,0.2756296793619792
94,0.33522923787434894
96,0.11914952596028645
99,0.14154052734375
102,0.1638361612955729
105,0.18625259399414062
108,0.14153925577799478
111,0.18625513712565103
114,0.23096084594726562
117,0.27566782633463544
120,0.1638361612955729
123,0.23095321655273438
126,0.2980308532714844
129,0.3650169372558594
131,0.18624750773111978
134,0.2756360371907552
137,0.3650093078613281
139,0.45438385009765625
141,0.12665812174479166
144,0.15646489461263022
147,0.18625005086263022
150,0.21606826782226562
153,0.1564509073893229
156,0.21605046590169272
159,0.27564366658528644
162,0.335205078125
164,0.18625768025716147
167,0.2756487528483073
170,0.3650245666503906
172,0.4543914794921875
174,0.2160313924153646
177,0.3352305094401042
179,0.4544181823730469
181,0.5736986796061198
