num_samples,model_name,rmse,mae,r2,accuracy,score,residuals,y_pred,y_test
64,linear_regression,2.3674562490594756e-05,1.5803229807197974e-05,0.9999999069338141,1.0,2.9741727794241046,"[3.878288581338207e-06, -4.808158689195707e-06, -3.563127594689852e-05, -1.0638617276792495e-05, 5.502577986232771e-06, -1.4091598335347344e-05, 1.755204671607946e-05, 1.564933523423573e-05, 7.3991535385897755e-06, -6.784952392868693e-06, 4.481130938288613e-06, 9.179098006767417e-06, -6.984575385093894e-05]","[0.15644702910074157, 0.3650293748090798, 0.1043154672948271, 0.18625814634839657, 0.12666024856133667, 0.14155334737633013, 0.11175816409911725, 0.12665518806710951, 0.18624900953786766, 0.33523729439249705, 0.18625319912622318, 0.1415567795608474, 0.16390600704942385]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
57,linear_regression,3.816214363252945e-05,2.9537574408195395e-05,0.9999998420367796,1.0,2.974141164355331,"[-1.3204509856645785e-06, -1.3140798501093398e-05, -4.3595995955325595e-05, 9.14109141797459e-06, 7.6333199775791e-06, -6.021404075851056e-06, -2.782457788041981e-05, -4.000078341723223e-05, 3.989874927813608e-05, -7.225122711077003e-05, -7.556942395529898e-05, -1.80530703429993e-05]","[0.15645222784030857, 0.14155239657649588, 0.4544350754881428, 0.1564506672581914, 0.23093541070671514, 0.14156053597113313, 0.3352329027028804, 0.21607139319878182, 0.11175997714590416, 0.16390841252268368, 0.1192174659897105, 0.18626556080146278]","[0.1564509073893229, 0.14153925577799478, 0.4543914794921875, 0.15645980834960938, 0.23094304402669272, 0.14155451456705728, 0.335205078125, 0.2160313924153646, 0.1117998758951823, 0.1638361612955729, 0.1191418965657552, 0.18624750773111978]"
51,linear_regression,2.8376345010317947e-05,2.2590906254421617e-05,0.9999998456198509,1.0,2.9741601586026696,"[4.083143249811183e-05, -5.1930343066552975e-05, 1.1212755815864783e-05, -7.777819776344508e-06, 1.3487880291540577e-06, 1.229794341939261e-05, 9.041343000754098e-06, 3.1589459683928345e-05, 4.991564639961199e-05, 1.1127762167190136e-05, 2.142667494173245e-05]","[0.1415340281866425, 0.10433176636194676, 0.1862464675013456, 0.3650247150756357, 0.18624870207460106, 0.27563136864186705, 0.12665670979632215, 0.14153436919917023, 0.15640989270320976, 0.21603933813952553, 0.23093178987779264]","[0.14157485961914062, 0.1042798360188802, 0.18625768025716147, 0.3650169372558594, 0.18625005086263022, 0.27564366658528644, 0.1266657511393229, 0.14156595865885416, 0.15645980834960938, 0.21605046590169272, 0.23095321655273438]"
45,linear_regression,6.978649626836207e-05,4.827838651913342e-05,0.9999997710267264,1.0,2.974083414518086,"[-4.7651088003336506e-05, 1.8756278994336295e-05, 2.5274198550778726e-05, 9.089236343295948e-06, 3.81407299466785e-05, -8.299167608040448e-05, 7.893139832487739e-06, 0.00017695356899372072, 2.7755561927161887e-05]","[0.16390288586990437, 0.33521175316110985, 0.186222233532569, 0.2756269479544119, 0.4543800416431002, 0.11922488824183561, 0.18624215772279773, 0.573521726037126, 0.1564320527876822]","[0.16385523478190103, 0.3352305094401042, 0.18624750773111978, 0.2756360371907552, 0.4544181823730469, 0.1191418965657552, 0.18625005086263022, 0.5736986796061198, 0.15645980834960938]"
40,linear_regression,2.922058049987205e-05,2.344424584229364e-05,0.9999999289931012,1.0,2.974158350593257,"[1.238271743675412e-05, -4.013605924890751e-06, -1.9636216542218143e-05, 1.8117202442380353e-05, -9.845439195688144e-06, 2.372736110514695e-05, 3.7578635935175964e-05, 6.22527881560947e-05]","[0.27561729664454243, 0.18624643507402386, 0.3352247143415422, 0.27562554938284406, 0.45442802781224256, 0.18623140976454589, 0.11173813750989815, 0.1117376231070262]","[0.2756296793619792, 0.18624242146809897, 0.335205078125, 0.27564366658528644, 0.4544181823730469, 0.18625513712565103, 0.11177571614583333, 0.1117998758951823]"
36,linear_regression,2.683958903397326e-05,1.6854281146717193e-05,0.9999999290896049,1.0,2.9741678499485786,"[-1.611471028922784e-05, -7.031515984554093e-05, 1.3956910838164305e-06, 1.4624416801611861e-05, 8.356066036607768e-07, 7.991319172645506e-06, -1.1021202301120248e-05, 1.2536143076113948e-05]","[0.14155664205403923, 0.16390647645541845, 0.12665672605370784, 0.141560235202339, 0.23094220842008906, 0.18624968893798882, 0.45439487129995737, 0.1564523584695541]","[0.14154052734375, 0.1638361612955729, 0.12665812174479166, 0.14157485961914062, 0.23094304402669272, 0.18625768025716147, 0.45438385009765625, 0.15646489461263022]"
32,linear_regression,1.8607461759645745e-05,1.6526405094779983e-05,0.9999992953153395,1.0,2.9741777002983936,"[-3.478430994582893e-05, 1.91591185610962e-05, 1.8347607222912732e-05, 6.7848337199638564e-06, 1.5128741740838558e-05, 1.2222657637894763e-05, 9.257566834924846e-06]","[0.16389001909184686, 0.15644064923104828, 0.1266474035321, 0.18624835229193107, 0.14155082991711332, 0.18624037133650273, 0.18623825016428486]","[0.16385523478190103, 0.15645980834960938, 0.1266657511393229, 0.18625513712565103, 0.14156595865885416, 0.18625259399414062, 0.18624750773111978]"
28,linear_regression,2.7515460548938575e-05,2.5524121093907042e-05,0.9999996484151492,1.0,2.9741581032234476,"[-2.1846965628569137e-05, -1.8445390589177935e-05, 1.174582432428295e-05, -2.3389982096388984e-05, -3.5688639358405494e-05, 4.202792456661775e-05]","[0.14156237430937857, 0.14157295995764646, 0.2756179335376549, 0.15647811206868492, 0.16389092342125944, 0.18621565233259485]","[0.14154052734375, 0.14155451456705728, 0.2756296793619792, 0.15645472208658853, 0.16385523478190103, 0.18625768025716147]"
25,linear_regression,6.846307815643574e-05,5.186805882338441e-05,0.9999994607673355,1.0,2.9740811632611495,"[-9.492956986795198e-06, -2.7570429946721653e-05, -3.0409372275108648e-05, -5.5595106622313706e-05, 0.00013627242828598285]","[0.14154874873498158, 0.3650445076858061, 0.1415709367160251, 0.10433543112550252, 0.1563235359213234]","[0.14153925577799478, 0.3650169372558594, 0.14154052734375, 0.1042798360188802, 0.15645980834960938]"
22,linear_regression,4.134135727951333e-05,3.755636765296333e-05,0.9999997929822042,1.0,2.9741292085614246,"[1.2880383669172657e-05, -6.051502610043835e-05, -5.208521863137028e-05, -3.680640134062774e-05, 2.5494808523207624e-05]","[0.1415263753943256, 0.15651523711268897, 0.33525716334363137, 0.3650537436572, 0.23092772174421117]","[0.14153925577799478, 0.15645472208658853, 0.335205078125, 0.3650169372558594, 0.23095321655273438]"
