num_features,selected_features,model_name,rmse,mae,r2,accuracy,score,residuals,y_pred,y_test
25,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_total_ratio', 'log_xlines', 'samples_to_total_ratio', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_to_total_ratio', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'log_samples', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'std_inlines_xlines']",linear_regression,2.3674562490594756e-05,1.5803229807197974e-05,0.9999999069338141,1.0,2.9741727794241046,"[3.878288581338207e-06, -4.808158689195707e-06, -3.563127594689852e-05, -1.0638617276792495e-05, 5.502577986232771e-06, -1.4091598335347344e-05, 1.755204671607946e-05, 1.564933523423573e-05, 7.3991535385897755e-06, -6.784952392868693e-06, 4.481130938288613e-06, 9.179098006767417e-06, -6.984575385093894e-05]","[0.15644702910074157, 0.3650293748090798, 0.1043154672948271, 0.18625814634839657, 0.12666024856133667, 0.14155334737633013, 0.11175816409911725, 0.12665518806710951, 0.18624900953786766, 0.33523729439249705, 0.18625319912622318, 0.1415567795608474, 0.16390600704942385]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
25,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_total_ratio', 'log_xlines', 'samples_to_total_ratio', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_to_total_ratio', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'log_samples', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'std_inlines_xlines']",linear_regression,2.3674562490594756e-05,1.5803229807197974e-05,0.9999999069338141,1.0,2.9741727794241046,"[3.878288581338207e-06, -4.808158689195707e-06, -3.563127594689852e-05, -1.0638617276792495e-05, 5.502577986232771e-06, -1.4091598335347344e-05, 1.755204671607946e-05, 1.564933523423573e-05, 7.3991535385897755e-06, -6.784952392868693e-06, 4.481130938288613e-06, 9.179098006767417e-06, -6.984575385093894e-05]","[0.15644702910074157, 0.3650293748090798, 0.1043154672948271, 0.18625814634839657, 0.12666024856133667, 0.14155334737633013, 0.11175816409911725, 0.12665518806710951, 0.18624900953786766, 0.33523729439249705, 0.18625319912622318, 0.1415567795608474, 0.16390600704942385]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
25,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_total_ratio', 'log_xlines', 'samples_to_total_ratio', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_to_total_ratio', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'log_samples', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'std_inlines_xlines']",linear_regression,2.3674562490594756e-05,1.5803229807197974e-05,0.9999999069338141,1.0,2.9741727794241046,"[3.878288581338207e-06, -4.808158689195707e-06, -3.563127594689852e-05, -1.0638617276792495e-05, 5.502577986232771e-06, -1.4091598335347344e-05, 1.755204671607946e-05, 1.564933523423573e-05, 7.3991535385897755e-06, -6.784952392868693e-06, 4.481130938288613e-06, 9.179098006767417e-06, -6.984575385093894e-05]","[0.15644702910074157, 0.3650293748090798, 0.1043154672948271, 0.18625814634839657, 0.12666024856133667, 0.14155334737633013, 0.11175816409911725, 0.12665518806710951, 0.18624900953786766, 0.33523729439249705, 0.18625319912622318, 0.1415567795608474, 0.16390600704942385]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
24,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'xlines_to_total_ratio', 'log_xlines', 'samples_to_total_ratio', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_to_total_ratio', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'log_samples']",linear_regression,2.3671727962242956e-05,1.5801063471110963e-05,0.9999999069560982,1.0,2.9741727851006696,"[3.884389718877834e-06, -4.809611072575937e-06, -3.562178909698177e-05, -1.0640111346521541e-05, 5.504243760529048e-06, -1.4086556032660846e-05, 1.7560392112786483e-05, 1.5620725673765046e-05, 7.397803819919613e-06, -6.782040626873709e-06, 4.4897275906785605e-06, 9.173149833868743e-06, -6.984328443840337e-05]","[0.15644702299960403, 0.3650293762614632, 0.10431545780797719, 0.1862581478424663, 0.12666024689556238, 0.14155334233402744, 0.11175815575372054, 0.12665521667666998, 0.18624901088758633, 0.33523729148073106, 0.1862531905295708, 0.1415567855090203, 0.1639060045800113]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
23,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'samples_to_total_ratio', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_to_total_ratio', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'log_samples']",linear_regression,2.367470956567692e-05,1.5803629248183606e-05,0.9999999069326578,1.0,2.974172778843767,"[3.8782962882288885e-06, -4.809028836205709e-06, -3.563151453650493e-05, -1.0638127262513342e-05, 5.502964459724868e-06, -1.409147980069303e-05, 1.755191399838152e-05, 1.5651971568303447e-05, 7.399629266352514e-06, -6.785861475122612e-06, 4.480868200928967e-06, 9.180039538453366e-06, -6.984548499497367e-05]","[0.15644702909303468, 0.36502937567922683, 0.10431546753341671, 0.1862581458583823, 0.12666024817486318, 0.14155334725779548, 0.11175816423183495, 0.12665518543077545, 0.1862490090621399, 0.3352372953015793, 0.18625319938896054, 0.1415567786193157, 0.16390600678056788]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
22,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_to_total_ratio', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'log_samples']",linear_regression,2.3674434961346604e-05,1.5803549621311202e-05,0.9999999069348168,1.0,2.974172779264021,"[3.8790156108581275e-06, -4.809898820845593e-06, -3.563109266349618e-05, -1.06381234080688e-05, 5.503235444320742e-06, -1.4090805437294573e-05, 1.755250595085467e-05, 1.5648811224788783e-05, 7.3996916411800395e-06, -6.786472011965916e-06, 4.4819123908856895e-06, 9.179589204183491e-06, -6.984499126830301e-05]","[0.15644702837371205, 0.36502937654921147, 0.1043154671115437, 0.18625814585452785, 0.1266602479038786, 0.14155334658343208, 0.11175816363988247, 0.12665518859111896, 0.18624900899976507, 0.33523729591211615, 0.18625319834477058, 0.14155677906964997, 0.1639060062868412]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
21,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'xlines_to_samples_ratio', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'log_samples']",linear_regression,2.367319979582491e-05,1.58025498364516e-05,0.9999999069445276,1.0,2.9741727817931722,"[3.881682210077342e-06, -4.80987432405211e-06, -3.5626031071767095e-05, -1.0638764944337353e-05, 5.504014284868353e-06, -1.4088706988601984e-05, 1.7556645398389414e-05, 1.5637636006343714e-05, 7.398960296584045e-06, -6.78414453259002e-06, 4.485455373126612e-06, 9.177120956521678e-06, -6.984411148661107e-05]","[0.15644702570711283, 0.3650293765247147, 0.10431546204995197, 0.18625814649606412, 0.12666024712503804, 0.14155334448498338, 0.11175815950043494, 0.1266551997663374, 0.18624900973110967, 0.3352372935846368, 0.18625319480178834, 0.14155678153789764, 0.16390600540705952]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
20,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'log_inlines', 'inline_to_xlines_ratio', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'log_samples']",linear_regression,2.3672987152667385e-05,1.5802115785598647e-05,0.9999999069461992,1.0,2.974172782489385,"[3.88182023333683e-06, -4.809408440054064e-06, -3.562627652230199e-05, -1.0639264938716586e-05, 5.50352780265273e-06, -1.4088663426864434e-05, 1.7556569736620897e-05, 1.5633520632329923e-05, 7.398448589185369e-06, -6.783874974158888e-06, 4.486076466275746e-06, 9.175862621418895e-06, -6.984419082886606e-05]","[0.15644702556908957, 0.3650293760588307, 0.1043154622954025, 0.1862581469960585, 0.12666024761152025, 0.14155334444142165, 0.11175815957609671, 0.12665520388171142, 0.18624901024281706, 0.33523729331507834, 0.1862531941806952, 0.14155678279623274, 0.16390600548640177]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
19,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'log_inlines', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'inlines_to_samples_ratio', 'volume', 'log_samples']",linear_regression,2.367495950430791e-05,1.5804005742789395e-05,0.9999999069306927,1.0,2.974172778158553,"[3.87767469142708e-06, -4.808993317007015e-06, -3.56324800034058e-05, -1.0637583207712131e-05, 5.503265934930779e-06, -1.4091742573135724e-05, 1.7550573320770924e-05, 1.565614045032082e-05, 7.400099812232552e-06, -6.786841977024505e-06, 4.480142917206997e-06, 9.181255462259452e-06, -6.984528098882836e-05]","[0.15644702971463148, 0.36502937564370763, 0.10431546849888361, 0.1862581453143275, 0.12666024787338798, 0.14155334752056792, 0.11175816557251256, 0.12665518126189343, 0.18624900859159402, 0.3352372962820812, 0.18625320011424426, 0.1415567774033919, 0.16390600657656174]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
18,"['inlines', 'samples', 'xlines_x_samples', 'inlines_x_samples', 'quadratic_interaction', 'log_xlines', 'log_inlines', 'log_volume_x_log_diagonal', 'log_volume', 'inlines_x_xlines', 'mean_inlines_xlines', 'diagonal_length', 'surface_area', 'xlines', 'volume', 'log_samples']",linear_regression,2.3673218206513336e-05,1.5802600390884035e-05,0.9999999069443828,1.0,2.9741727817199757,"[3.8807316718736384e-06, -4.8100649240878646e-06, -3.562651474345313e-05, -1.0638653838046519e-05, 5.504573298342752e-06, -1.4089052935845059e-05, 1.755547866348628e-05, 1.563766469300787e-05, 7.399410554664865e-06, -6.7848129289282966e-06, 4.485166025719467e-06, 9.17767168925887e-06, -6.984400911477784e-05]","[0.15644702665765103, 0.3650293767153147, 0.10431546253362366, 0.18625814638495783, 0.12666024656602456, 0.14155334483093063, 0.11175816066716984, 0.12665519973765074, 0.18624900928085159, 0.3352372942530331, 0.18625319509113575, 0.1415567809871649, 0.16390600530468769]","[0.1564509073893229, 0.3650245666503906, 0.1042798360188802, 0.18624750773111978, 0.1266657511393229, 0.14153925577799478, 0.11177571614583333, 0.12667083740234375, 0.18625640869140625, 0.3352305094401042, 0.18625768025716147, 0.14156595865885416, 0.1638361612955729]"
