,avg_peak_memory_usage
26,0.7601305643717448
80,4.0968678792317705
20,1.4368832906087239
106,2.7439969380696616
14,0.5369860331217448
115,4.098138173421224
74,1.4363555908203125
145,1.8857447306315105
103,2.0777155558268228
160,5.440544128417969
47,3.6287638346354165
29,1.4351437886555989
50,0.5370534261067709
92,5.440016428629558
112,2.7549565633138022
77,2.7562217712402344
35,2.743335723876953
2,0.3122507731119792
151,3.6306330362955728
83,5.4385630289713545
97,0.7588284810384115
124,4.096871693929036
89,3.6484107971191406
148,2.7433446248372397
5,0.5359052022298177
65,1.8933512369791667
8,0.7594655354817709
127,6.1168874104817705
121,2.078507741292318
109,1.4350636800130208
71,3.6469713846842446
135,5.440132141113281
32,2.0777371724446616
68,2.755859375
56,1.4350547790527344
175,3.630568186442057
62,0.9863204956054688
23,1.8857421875
132,2.744647979736328
44,2.743330637613932
86,1.8859329223632812
165,2.743352254231771
118,5.439725240071614
