inlines,xlines,samples,operator,avg_peak_memory_usage
100,100,100,envelope,0.12813949584960938
100,100,100,gaussian-filter,0.11447372436523437
100,100,100,gst3d,0.3255287170410156
100,100,200,envelope,0.15153350830078124
100,100,200,gaussian-filter,0.12197341918945312
100,100,200,gst3d,0.5485153198242188
100,100,300,envelope,0.1800537109375
100,100,300,gaussian-filter,0.12960891723632811
100,100,300,gst3d,0.7709701538085938
100,100,400,envelope,0.20627593994140625
100,100,400,gaussian-filter,0.1371307373046875
100,100,400,gst3d,0.9940521240234375
100,100,500,envelope,0.23348236083984375
100,100,500,gaussian-filter,0.1441802978515625
100,100,500,gst3d,1.2167129516601562
100,100,600,envelope,0.2565773010253906
100,100,600,gaussian-filter,0.15199127197265624
100,100,600,gst3d,1.4397377014160155
100,100,700,envelope,0.281817626953125
100,100,700,gaussian-filter,0.1594635009765625
100,100,700,gst3d,1.6622634887695313
100,100,800,envelope,0.312579345703125
100,100,800,gaussian-filter,0.16664352416992187
100,100,800,gst3d,1.8849319458007812
100,200,100,envelope,0.15367965698242186
100,200,100,gaussian-filter,0.1219024658203125
100,200,100,gst3d,0.54840087890625
100,200,200,envelope,0.20840682983398437
100,200,200,gaussian-filter,0.1370697021484375
100,200,200,gst3d,0.9977165222167969
100,200,300,envelope,0.25821609497070314
100,200,300,gaussian-filter,0.15188446044921874
100,200,300,gst3d,1.4472068786621093
100,200,400,envelope,0.31189422607421874
100,200,400,gaussian-filter,0.16658859252929686
100,200,400,gst3d,1.8974189758300781
100,200,500,envelope,0.36311874389648435
100,200,500,gaussian-filter,0.18170700073242188
100,200,500,gst3d,2.307569885253906
100,200,600,envelope,0.41361846923828127
100,200,600,gaussian-filter,0.19640884399414063
100,200,600,gst3d,2.7500213623046874
100,200,700,envelope,0.46877059936523435
100,200,700,gaussian-filter,0.21155471801757814
100,200,700,gst3d,3.1919601440429686
100,200,800,envelope,0.5199394226074219
100,200,800,gaussian-filter,0.22635345458984374
100,200,800,gst3d,3.633444976806641
100,300,100,envelope,0.18253402709960936
100,300,100,gaussian-filter,0.1293914794921875
100,300,100,gst3d,0.7711448669433594
100,300,200,envelope,0.25530166625976564
100,300,200,gaussian-filter,0.15175018310546876
100,300,200,gst3d,1.44715576171875
100,300,300,envelope,0.3367912292480469
100,300,300,gaussian-filter,0.17420196533203125
100,300,300,gst3d,2.089051055908203
100,300,400,envelope,0.4120918273925781
100,300,400,gaussian-filter,0.19635009765625
100,300,400,gst3d,2.754729461669922
100,300,500,envelope,0.4903846740722656
100,300,500,gaussian-filter,0.21863327026367188
100,300,500,gst3d,3.4189964294433595
100,300,600,envelope,0.5737197875976563
100,300,600,gaussian-filter,0.24112777709960936
100,300,600,gst3d,4.083385467529297
100,300,700,envelope,0.6519882202148437
100,300,700,gaussian-filter,0.26345138549804686
100,300,700,gst3d,4.748719024658203
100,300,800,envelope,0.725079345703125
100,300,800,gaussian-filter,0.28605194091796876
100,300,800,gst3d,5.4136192321777346
100,400,100,envelope,0.20528564453125
100,400,100,gaussian-filter,0.13705368041992189
100,400,100,gst3d,0.9938529968261719
100,400,200,envelope,0.30872039794921874
100,400,200,gaussian-filter,0.16650314331054689
100,400,200,gst3d,1.8971420288085938
100,400,300,envelope,0.4128509521484375
100,400,300,gaussian-filter,0.1964111328125
100,400,300,gst3d,2.7548538208007813
100,400,400,envelope,0.5151748657226562
100,400,400,gaussian-filter,0.2262176513671875
100,400,400,gst3d,3.6411361694335938
100,400,500,envelope,0.620849609375
100,400,500,gaussian-filter,0.256072998046875
100,400,500,gst3d,4.529179382324219
100,400,600,envelope,0.7288467407226562
100,400,600,gaussian-filter,0.2860565185546875
100,400,600,gst3d,5.4172119140625
100,400,700,envelope,0.8298683166503906
100,400,700,gaussian-filter,0.31595840454101565
100,400,700,gst3d,6.305078125
100,400,800,envelope,0.9352996826171875
100,400,800,gaussian-filter,0.34549713134765625
100,400,800,gst3d,7.193306732177734
100,500,100,envelope,0.2302947998046875
100,500,100,gaussian-filter,0.1442108154296875
100,500,100,gst3d,1.2166427612304687
100,500,200,envelope,0.3605537414550781
100,500,200,gaussian-filter,0.18152999877929688
100,500,200,gst3d,2.308244323730469
100,500,300,envelope,0.4884071350097656
100,500,300,gaussian-filter,0.21886444091796875
100,500,300,gst3d,3.4189918518066404
100,500,400,envelope,0.6186180114746094
100,500,400,gaussian-filter,0.25614395141601565
100,500,400,gst3d,4.529415893554687
100,500,500,envelope,0.75482177734375
100,500,500,gaussian-filter,0.2931938171386719
100,500,500,gst3d,5.640776824951172
100,500,600,envelope,0.8828865051269531
100,500,600,gaussian-filter,0.33074188232421875
100,500,600,gst3d,6.7510841369628904
100,500,700,envelope,1.0131523132324218
100,500,700,gaussian-filter,0.36803512573242186
100,500,700,gst3d,7.861930084228516
100,500,800,envelope,1.1450027465820312
100,500,800,gaussian-filter,0.40517578125
100,500,800,gst3d,8.973421478271485
100,600,100,envelope,0.2565826416015625
100,600,100,gaussian-filter,0.15181427001953124
100,600,100,gst3d,1.4397720336914062
100,600,200,envelope,0.41407241821289065
100,600,200,gaussian-filter,0.19653091430664063
100,600,200,gst3d,2.749852752685547
100,600,300,envelope,0.5699867248535156
100,600,300,gaussian-filter,0.24099502563476563
100,600,300,gst3d,4.083683013916016
100,600,400,envelope,0.7227691650390625
100,600,400,gaussian-filter,0.28593292236328127
100,600,400,gst3d,5.417379760742188
100,600,500,envelope,0.8834625244140625
100,600,500,gaussian-filter,0.33064422607421873
100,600,500,gst3d,6.751043701171875
100,600,600,envelope,1.0394142150878907
100,600,600,gaussian-filter,0.3752922058105469
100,600,600,gst3d,8.085658264160156
100,600,700,envelope,1.1977622985839844
100,600,700,gaussian-filter,0.41995391845703123
100,600,700,gst3d,9.419164276123047
100,600,800,envelope,1.3542930603027343
100,600,800,gaussian-filter,0.4648933410644531
100,600,800,gst3d,10.752513122558593
100,700,100,envelope,0.28308639526367185
100,700,100,gaussian-filter,0.15926742553710938
100,700,100,gst3d,1.6623703002929688
100,700,200,envelope,0.4655731201171875
100,700,200,gaussian-filter,0.211492919921875
100,700,200,gst3d,3.191625213623047
100,700,300,envelope,0.6471145629882813
100,700,300,gaussian-filter,0.2633964538574219
100,700,300,gst3d,4.748094177246093
100,700,400,envelope,0.829266357421875
100,700,400,gaussian-filter,0.31578521728515624
100,700,400,gst3d,6.3044281005859375
100,700,500,envelope,1.0153053283691407
100,700,500,gaussian-filter,0.3679618835449219
100,700,500,gst3d,7.862020111083984
100,700,600,envelope,1.1966117858886718
100,700,600,gaussian-filter,0.42005233764648436
100,700,600,gst3d,9.419038391113281
100,700,700,envelope,1.3816490173339844
100,700,700,gaussian-filter,0.4720649719238281
100,700,700,gst3d,10.976145172119141
100,700,800,envelope,1.5609733581542968
100,700,800,gaussian-filter,0.5245895385742188
100,700,800,gst3d,12.532988739013671
100,800,100,envelope,0.31121063232421875
100,800,100,gaussian-filter,0.16657485961914062
100,800,100,gst3d,1.884862518310547
100,800,200,envelope,0.5163459777832031
100,800,200,gaussian-filter,0.22630081176757813
100,800,200,gst3d,3.6329200744628904
