inlines,xlines,samples,worker_count,best_mode,best_time,memaware_diff
100,100,100,1,memaware,3.960325241088867,0.0%
100,100,100,2,memaware,3.6369431018829346,0.0%
100,100,100,4,auto,3.9311368465423584,0.7%
100,100,100,8,auto,4.502506256103516,0.7%
100,100,200,1,evenly_split,5.8473851680755615,8.9%
100,100,200,2,evenly_split,5.116161346435547,44.1%
100,100,200,4,evenly_split,5.411155939102173,43.2%
100,100,200,8,evenly_split,6.1689441204071045,73.3%
100,100,300,1,evenly_split,6.694240570068359,38.7%
100,100,300,2,auto,6.520064830780029,60.0%
100,100,300,4,auto,6.947252035140991,62.2%
100,100,300,8,evenly_split,7.812048673629761,64.1%
100,100,400,1,evenly_split,8.61971139907837,42.3%
100,100,400,2,evenly_split,7.844575881958008,88.4%
100,100,400,4,evenly_split,8.23814582824707,79.5%
100,100,400,8,evenly_split,9.651646614074709,74.3%
100,200,100,1,auto,5.284918546676636,21.3%
100,200,100,2,evenly_split,5.027403354644775,45.4%
100,200,100,4,evenly_split,5.347787380218506,49.7%
100,200,100,8,auto,6.152940511703491,44.9%
100,200,200,1,evenly_split,7.981221914291382,53.6%
100,200,200,2,evenly_split,7.8560686111450195,69.7%
100,200,200,4,auto,8.295322895050049,79.4%
100,200,200,8,auto,9.56861448287964,77.5%
100,200,300,1,auto,10.718836545944214,58.3%
100,200,300,2,evenly_split,10.636730909347534,82.7%
100,200,300,4,auto,11.415731191635132,87.9%
100,200,300,8,evenly_split,13.277494430541992,90.8%
100,200,400,1,evenly_split,14.081360816955566,58.5%
100,200,400,2,evenly_split,14.261478424072266,108.1%
100,200,400,4,auto,16.10745596885681,73.9%
100,200,400,8,memaware,32.798248291015625,0.0%
100,300,100,1,evenly_split,6.655364513397217,45.3%
100,300,100,2,evenly_split,6.453327894210815,65.3%
100,300,100,4,auto,6.78883695602417,67.5%
100,300,100,8,auto,7.808382272720337,66.2%
100,300,200,1,evenly_split,10.681919813156128,59.8%
100,300,200,2,auto,10.618615865707396,87.7%
100,300,200,4,evenly_split,11.15250325202942,96.4%
100,300,200,8,auto,13.24319052696228,90.9%
100,300,300,1,auto,14.666998624801636,80.7%
100,300,300,2,auto,15.589237928390505,110.7%
100,300,300,4,auto,17.28586220741272,81.6%
100,300,300,8,memaware,37.00701904296875,0.0%
100,300,400,1,evenly_split,19.455336332321167,67.2%
100,300,400,2,auto,20.124452114105225,88.4%
100,300,400,4,auto,22.15838599205017,88.7%
100,300,400,8,memaware,56.71860933303833,0.0%
100,400,100,1,evenly_split,7.934848070144653,58.2%
100,400,100,2,auto,7.804635524749756,75.8%
100,400,100,4,auto,8.316949367523193,80.2%
100,400,100,8,auto,9.458987474441528,80.4%
100,400,200,1,evenly_split,14.089787721633911,75.4%
100,400,200,2,evenly_split,14.157471418380736,85.3%
100,400,200,4,auto,14.18108081817627,101.4%
100,400,200,8,memaware,33.38327956199646,0.0%
100,400,300,1,evenly_split,19.369181871414185,69.5%
100,400,300,2,evenly_split,19.83943271636963,90.1%
100,400,300,4,evenly_split,21.942516565322876,117.4%
100,400,300,8,memaware,57.166459798812866,0.0%
100,400,400,1,auto,25.03811001777649,71.4%
100,400,400,2,auto,25.724202871322632,119.1%
100,400,400,4,memaware,54.67119574546814,0.0%
100,400,400,8,memaware,74.8625819683075,0.0%
200,100,100,1,auto,5.366774797439575,27.1%
200,100,100,2,auto,5.0974249839782715,42.4%
200,100,100,4,auto,5.458328008651733,42.7%
200,100,100,8,auto,6.169164657592773,44.5%
200,100,200,1,evenly_split,8.104955196380615,46.0%
200,100,200,2,auto,8.733672142028809,54.9%
200,100,200,4,evenly_split,8.42160677909851,81.0%
200,100,200,8,auto,9.62943983078003,74.4%
200,100,300,1,evenly_split,11.78458023071289,40.3%
200,100,300,2,auto,11.543719053268433,89.0%
200,100,300,4,evenly_split,12.38700246810913,73.0%
200,100,300,8,auto,15.867370128631592,81.7%
200,100,400,1,auto,14.256884813308716,73.8%
200,100,400,2,evenly_split,14.440698146820068,103.3%
200,100,400,4,evenly_split,16.22371768951416,98.9%
200,100,400,8,memaware,38.46910071372986,0.0%
200,200,100,1,evenly_split,8.05919885635376,44.7%
200,200,100,2,evenly_split,8.028239965438843,71.6%
200,200,100,4,evenly_split,8.415685892105103,74.2%
200,200,100,8,evenly_split,9.535226583480837,78.7%
200,200,200,1,memaware,14.138805866241457,0.0%
200,200,200,2,memaware,14.316807270050049,0.0%
200,200,200,4,evenly_split,15.566324472427368,2.3%
200,200,200,8,memaware,32.67724680900574,0.0%
200,200,300,1,evenly_split,19.661410808563232,61.7%
200,200,300,2,auto,20.07339596748352,84.4%
200,200,300,4,evenly_split,22.27137279510498,83.9%
200,200,300,8,memaware,56.841508626937866,0.0%
200,200,400,1,evenly_split,25.174317836761475,6.9%
200,200,400,2,auto,25.9128577709198,12.5%
200,200,400,4,memaware,34.33475995063782,0.0%
200,200,400,8,memaware,74.12781000137329,0.0%
200,300,100,1,evenly_split,10.605820178985596,60.5%
200,300,100,2,auto,10.821497440338137,80.9%
200,300,100,4,evenly_split,12.207931756973268,102.6%
200,300,100,8,auto,13.11677074432373,90.1%
200,300,200,1,evenly_split,19.51311230659485,74.3%
200,300,200,2,evenly_split,19.893234252929688,85.1%
200,300,200,4,auto,22.04756808280945,86.1%
200,300,200,8,memaware,56.996626138687134,0.0%
200,300,300,1,evenly_split,27.591938972473145,69.2%
200,300,300,2,auto,28.201112508773804,92.9%
200,300,300,4,memaware,60.388025760650635,0.0%
200,300,300,8,memaware,83.02372550964355,0.0%
200,300,400,1,evenly_split,36.02604126930237,70.2%
200,300,400,2,evenly_split,38.16628122329712,87.8%
200,300,400,4,memaware,79.05135679244995,0.0%
200,300,400,8,memaware,110.3608922958374,0.0%
200,400,100,1,auto,14.2201726436615,54.8%
200,400,100,2,evenly_split,14.219154119491575,87.4%
200,400,100,4,auto,15.37718415260315,83.9%
200,400,100,8,memaware,33.45592975616455,0.0%
200,400,200,1,evenly_split,25.04238533973694,7.0%
200,400,200,2,evenly_split,25.554721355438232,14.7%
200,400,200,4,memaware,31.918012857437137,0.0%
200,400,200,8,memaware,74.5631332397461,0.0%
200,400,300,1,auto,35.88277745246887,71.7%
200,400,300,2,auto,37.87441658973694,89.3%
200,400,300,4,memaware,78.73647975921631,0.0%
200,400,300,8,memaware,96.72667813301086,0.0%
200,400,400,1,evenly_split,46.51792669296265,9.5%
200,400,400,2,memaware,55.724496841430664,0.0%
200,400,400,4,memaware,59.8033435344696,0.0%
200,400,400,8,memaware,145.24502420425415,0.0%
300,100,100,1,evenly_split,6.83661675453186,33.6%
300,100,100,2,auto,7.354516744613648,40.0%
300,100,100,4,auto,7.087963581085205,60.0%
300,100,100,8,evenly_split,8.055101156234741,58.9%
300,100,200,1,evenly_split,11.628641605377195,59.6%
300,100,200,2,auto,11.629290342330933,93.0%
300,100,200,4,evenly_split,12.630637884140016,94.0%
300,100,200,8,auto,16.09883141517639,80.7%
300,100,300,1,evenly_split,15.587250471115112,70.3%
300,100,300,2,evenly_split,15.78695583343506,92.3%
300,100,300,4,evenly_split,17.169222831726074,107.2%
300,100,300,8,memaware,42.6106481552124,0.0%
300,100,400,1,auto,19.946266889572144,61.8%
300,100,400,2,evenly_split,20.3787784576416,82.5%
300,100,400,4,evenly_split,22.495134830474857,82.0%
300,100,400,8,memaware,56.25033450126648,0.0%
300,200,100,1,evenly_split,10.83607530593872,53.9%
300,200,100,2,evenly_split,11.531461238861084,69.6%
300,200,100,4,evenly_split,11.836913585662842,107.2%
300,200,100,8,auto,16.080291271209717,54.5%
300,200,200,1,evenly_split,19.874406576156616,80.9%
300,200,200,2,evenly_split,20.052894353866577,85.3%
300,200,200,4,evenly_split,22.646002531051636,100.5%
300,200,200,8,memaware,56.416306018829346,0.0%
300,200,300,1,evenly_split,27.94396591186523,66.1%
300,200,300,2,auto,28.939552307128903,112.1%
300,200,300,4,memaware,60.544723987579346,0.0%
300,200,300,8,memaware,82.86081671714783,0.0%
300,200,400,1,evenly_split,36.11749649047851,68.3%
300,200,400,2,evenly_split,38.22128510475159,87.0%
300,200,400,4,memaware,79.00986862182617,0.0%
300,200,400,8,memaware,110.8101794719696,0.0%
300,300,100,1,evenly_split,15.472054958343506,61.8%
300,300,100,2,auto,15.583160400390623,109.1%
300,300,100,4,auto,16.757456064224243,88.4%
300,300,100,8,memaware,43.06839442253113,0.0%
300,300,200,1,evenly_split,28.004119634628296,65.8%
300,300,200,2,evenly_split,28.59751057624817,89.4%
300,300,200,4,memaware,60.31295299530029,0.0%
300,300,200,8,memaware,83.32855558395386,0.0%
300,300,300,1,auto,39.19002079963684,4.2%
300,300,300,2,memaware,42.15877532958984,0.0%
300,300,300,4,memaware,62.81099462509155,0.0%
